name,geometry
Delhi Heart and Lung Institute Super Speciality Hospital,POINT (77.2052683 28.6416777)
Surbhi hospital,POINT (77.2164415 28.6491348)
Sir Ganga Ram Kolmet Hospital,POINT (77.187296 28.643492)
,POINT (77.1940384 28.6581566)
Sushruta Trauma Centre,POINT (77.2283852 28.6797783)
Maulana Azad Institute of Dental Sciences,POINT (77.236999 28.6371532)
Free Maternity & Child Welfare Centeri,POINT (77.2308534 28.6472649)
Kaya Kalp Hospital,POINT (77.2100401 28.7305663)
Sunder Lal Jain Eye Hospital,POINT (77.2098206 28.6495013)
Kasturba Hospital,POINT (77.2359282 28.649831)
Sparsh Mother & child care hospital,POINT (77.1945449 28.6801482)
NGO Lok Kalyan Samiti,POINT (77.2387009 28.629808)
Parmarth Mission Hospital,POINT (77.1979673 28.6810176)
Aruna Asaf Ali Government Hospital,POINT (77.2178501 28.6697661)
Dr. N. C. Joshi Memorial Hospital,POINT (77.1994853 28.6529654)
Shree Jeewan Hospital,POINT (77.1943948 28.6579998)
Navjoyti Eye Centre,POINT (77.2424612 28.6435226)
Gouri Hospital Ltd,POINT (77.20819 28.6796305)
Sanjivini Nursing Home,POINT (77.2007198 28.6814911)
Sharma Medical Center,POINT (77.209831 28.6494565)
Tirath Ram Shah Hospital,POINT (77.2162565 28.6708223)
Neera Eye Centre,POINT (77.2427645 28.6424432)
Mahavir International Eye Hospital,POINT (77.2157522 28.6598583)
Nazar Kanwar Surana Hospital,POINT (77.1907591 28.6752381)
Capital Eye Centre,POINT (77.1928254 28.6874142)
Sabharwal Hospital,POINT (77.2385497 28.6443841)
Dehli Hospital,POINT (77.2450734 28.6418873)
Apollo Spectra Hospitals,POINT (77.1936638 28.6583838)
Jai Maa Tara Hospital,POINT (77.1800003 28.6738845)
Curewell Hospital,POINT (77.1952107 28.6651197)
Sanjeevan Hospital,POINT (77.2429413 28.6412816)
Jeewan Hospital,POINT (77.188255 28.643625)
Khadija National Hospital,POINT (77.2381596 28.6437984)
Nature Care Hospital,POINT (77.1871469 28.7618377)
Aggarwal Dharmarth Hospital,POINT (77.1976619 28.6812368)
Banwari Lal Charitable Trust Diagnostic Centre,POINT (77.2042941 28.6420044)
Kasturba Hospital,POINT (77.2385223 28.6485447)
Dr. Shroff Charity Eye Hospital,POINT (77.242051 28.6459381)
SRG Speciality Hospital,POINT (77.1794945 28.6706849)
