name,geometry
R. S. Medicos,POINT (77.2129328 28.6467075)
Bhagwati Medicos,POINT (77.2132438 28.6467013)
,POINT (77.2128151 28.6466897)
Next Door Pharma,POINT (77.2081362 28.6781389)
Vinod Medicos,POINT (77.2114515 28.6377937)
SR Medicos,POINT (77.1886384 28.6478782)
Geeta Medicos,POINT (77.1887282 28.6480158)
Shiv Pharmaceuticals,POINT (77.2252891 28.6568226)
Narang medical store,POINT (77.2256782 28.6564271)
Rai Sahab Seth Girdhari Lal,POINT (77.224527 28.6587821)
Satyawati Pharmacy,POINT (77.1998614 28.6826449)
