name,geometry
Government Sarvoday Bal Vidyalaya,POINT (77.2303905 28.6327017)
Government Sarvodaya Vidyalaya,POINT (77.2159162 28.6959475)
Swami Hariharanand Public School,POINT (77.2403662 28.6627534)
,POINT (77.2359195 28.6589497)
TCV DAY School Samyeling,POINT (77.2277759 28.7015098)
,POINT (77.2069986 28.6636)
L.N. Girdharri Lal,POINT (77.2237125 28.6587675)
Durgabai Deshmukh Balwadi,POINT (77.2115618 28.692024)
Usha Ganguli Shishu Vihar,POINT (77.2116113 28.6921196)
Experimental Basic School,POINT (77.2097821 28.6942624)
Govt Co Ed Senior Secondary School,POINT (77.2023033 28.6843546)
Municipal Corporation Primary School,POINT (77.2027529 28.6799307)
निगम प्राथमिक विद्यालय,POINT (77.2020054 28.6800535)
Central Baptist Church Primary school,POINT (77.2336847 28.6564137)
