name,geometry
,POINT (77.2265962 28.7000836)
,POINT (77.2265775 28.6999236)
,POINT (77.2133239 28.641578)
,POINT (77.22841 28.7033211)
Reliance Fresh,POINT (77.2108527 28.645693)
Bhumi Spices Shop,POINT (77.213101 28.64038)
24Seven,POINT (77.1889611 28.6437668)
,POINT (77.2183234 28.643629)
24Seven,POINT (77.1912379 28.6594663)
bioQ eco solutions,POINT (77.2006596 28.6556314)
24Seven,POINT (77.2406593 28.643798)
Vishal Mega Mart,POINT (77.1911263 28.6479199)
Gupta Store,POINT (77.1765962 28.7595052)
,POINT (77.1762037 28.7611887)
Gupta Provision Store,POINT (77.1752227 28.7610024)
,POINT (77.1771919 28.7588574)
,POINT (77.1768169 28.761095)
Vikash General Store,POINT (77.17551 28.7595161)
,POINT (77.1777997 28.7597971)
,POINT (77.1774581 28.7594292)
,POINT (77.1764349 28.7613702)
,POINT (77.177318 28.7601559)
Shiv Dairy,POINT (77.1786063 28.7593948)
,POINT (77.17875 28.7599416)
24SEVEN,POINT (77.2079533 28.6788463)
COMBONATION,POINT (77.2083236 28.6802593)
La Pino'z Pizza,POINT (77.2082074 28.6797783)
Cafe Coffee Day,POINT (77.2082169 28.6798041)
,POINT (77.2080437 28.6775104)
,POINT (77.2087908 28.6669797)
Need Corner,POINT (77.2088369 28.6669717)
Shahi Store,POINT (77.1888169 28.6481003)
Ajit Singh Harminder Singh Amritsari Papad and Badiyan,POINT (77.2308187 28.655645)
Kendriya Bhandar,POINT (77.2151079 28.6898591)
The Royal Café,POINT (77.2144537 28.6879837)
Mohabbat Ka Sharbat,POINT (77.2254509 28.6564334)
Aggarwal Cold Drinks,POINT (77.2240571 28.6587599)
Delhi Milk Scheme,POINT (77.2069478 28.6827998)
Seth Mini Mart,POINT (77.2006493 28.6828848)
Mr. D.I.Y.,POINT (77.20601 28.6826995)
