name,geometry
Delhi Institute Of Trauma and Orthopaedics,POINT (77.2241288 28.6778506)
Sushruta Trauma Centre,POINT (77.2283852 28.6797783)
DGD Pulbangash,POINT (77.212246 28.664396)
"Sai Clinic & Maternity Centre, Bhai Parmanand",POINT (77.207571 28.710388)
"CGHS General Hospital, Timarpur",POINT (77.2209462 28.7062547)
"DGD, Majnu Ka Tilla",POINT (77.224494 28.704335)
Sparsh Mother & child care hospital,POINT (77.1945449 28.6801482)
Parmarth Mission Hospital,POINT (77.1979673 28.6810176)
"Dispensary, Khyber Pass",POINT (77.221752 28.691084)
Aruna Asaf Ali Government Hospital,POINT (77.2178501 28.6697661)
"DGD, Model Town",POINT (77.1932079 28.7040847)
"DGD, Sarai Rohilla",POINT (77.195321 28.665984)
Gouri Hospital Ltd,POINT (77.20819 28.6796305)
Sanjivini Nursing Home,POINT (77.2007198 28.6814911)
Tirath Ram Shah Hospital,POINT (77.2162565 28.6708223)
ESI Subji Mandi,POINT (77.196397 28.677518)
"Dispensary, Gulabi Bagh",POINT (77.1947256 28.6696495)
Nazar Kanwar Surana Hospital,POINT (77.1907591 28.6752381)
Northex Stone Clinic,POINT (77.1891716 28.6946887)
Capital Eye Centre,POINT (77.1928254 28.6874142)
Dispensary Rana Pratap Bagh,POINT (77.191208 28.68859)
nulife hospital,POINT (77.2078767 28.7011094)
Curewell Hospital,POINT (77.1952107 28.6651197)
Vinayak Hospital,POINT (77.1870961 28.6985342)
Sethi Nursing Home,POINT (77.1853091 28.6992987)
Ayoni - Cure De Jouvence,POINT (77.1909599 28.7080391)
AYONI - CURE DE JOUVENCE,POINT (77.1897906 28.7064694)
Dr. Praveen,POINT (77.1855145 28.6875286)
Mohalla Clinic Sindhoran Kalan,POINT (77.1881001 28.6794831)
Kidoos Clinic and Vaccination Center,POINT (77.1928689 28.6809279)
Aggarwal Dharmarth Hospital,POINT (77.1976619 28.6812368)
Dr Preetam Singh,POINT (77.2019079 28.6767333)
HOD Ashok Vihar - House Of Diagnostics,POINT (77.1874885 28.6956326)
Hans Charitable Hospital,POINT (77.2083336 28.7003162)
Dr. Grover's Clinic,POINT (77.2080449 28.6772095)
Dr. Shikha's Dental Clinic,POINT (77.2045936 28.6974623)
Aam Aadmi Mohalla Clinic,POINT (77.20252 28.6801418)
