name,geometry
Unnamed,POINT (77.2265962 28.7000836)
Unnamed,POINT (77.2265775 28.6999236)
Unnamed,POINT (77.22841 28.7033211)
laxmi store,POINT (77.2066703 28.7026547)
24SEVEN,POINT (77.2079533 28.6788463)
COMBONATION,POINT (77.2083236 28.6802593)
La Pino'z Pizza,POINT (77.2082074 28.6797783)
Cafe Coffee Day,POINT (77.2082169 28.6798041)
Unnamed,POINT (77.2080437 28.6775104)
Unnamed,POINT (77.2087908 28.6669797)
Need Corner,POINT (77.2088369 28.6669717)
Print Media,POINT (77.2051049 28.6980064)
Delhi Document Center,POINT (77.2051236 28.6980505)
Kendriya Bhandar,POINT (77.2151079 28.6898591)
The Royal Café,POINT (77.2144537 28.6879837)
Delhi Milk Scheme,POINT (77.2069478 28.6827998)
Seth Mini Mart,POINT (77.2006493 28.6828848)
Mr. D.I.Y.,POINT (77.20601 28.6826995)
