name,geometry
Ram Lal Kundan Lal Orthopaedic Hospital,POINT (77.2866841 28.6179569)
Dr. Shyama Prasad Mukherjee Chest Hospital,POINT (77.2898985 28.6140205)
Somdatt Medical,POINT (77.276622 28.6293605)
Sharp Sight Center,POINT (77.2934473 28.6403964)
Mangalam Hospital,POINT (77.2966806 28.6228832)
Mayur Medicare Center,POINT (77.2933797 28.6060579)
Kukreja Hospital,POINT (77.2948507 28.6092197)
Raj Rani Hospital,POINT (77.3233982 28.6138358)
Malhotra Nursing Home,POINT (77.3039095 28.6197989)
Mahesh Hospital,POINT (77.3023362 28.6264544)
Malik Nursing Home,POINT (77.3343703 28.6094473)
Sankhwar Hospital,POINT (77.3237989 28.6151295)
Taravati Hospital,POINT (77.300537 28.628851)
Virmani Hospital,POINT (77.3012574 28.619588)
Silver Line Nursing Home,POINT (77.2959726 28.6228036)
Aarogya Hospital,POINT (77.2863392 28.6413801)
Apex Citi Hospital,POINT (77.3019477 28.6265513)
Patel Hospital,POINT (77.2783314 28.6308656)
Malik Radix,POINT (77.2881381 28.6353257)
