name,geometry
Bharat Medical Store,POINT (77.2863948 28.618614)
Arora Pharmacy,POINT (77.2949976 28.5975656)
Medicine Corner,POINT (77.2888525 28.611755)
Mahabir Medicos,POINT (77.286964 28.615881)
,POINT (77.2805113 28.6327625)
JMD Medical Store,POINT (77.2804575 28.6327144)
Vishal Medical Store,POINT (77.2795974 28.6271918)
Mediways Chemist,POINT (77.2797514 28.6270711)
Kailash Chemists,POINT (77.3086876 28.628125)
RK Medical Store,POINT (77.2867473 28.6179549)
Life Care Medicos,POINT (77.2904912 28.6226447)
Girdhar Garden Pharmacy,POINT (77.294962 28.5976068)
Bade Miyan & Sons Medicos,POINT (77.2948536 28.6232345)
Umed Medicos,POINT (77.2903115 28.6226682)
Apollo Pharmacy,POINT (77.2847632 28.6186484)
Parth Medicos,POINT (77.2859175 28.6193728)
,POINT (77.2795725 28.6272346)
Vishnu Medicos,POINT (77.2781948 28.6285746)
Life Line Medicose,POINT (77.2937082 28.6221182)
Kalra Medical Store,POINT (77.2937811 28.6220881)
Zeelab Pharmacy,POINT (77.2795261 28.6272624)
Neelkanth,POINT (77.3040932 28.6375094)
GACSS Pharmarcy,POINT (77.3048618 28.6367333)
Shiv medicos,POINT (77.2764795 28.6310699)
Om Medicos,POINT (77.2777848 28.6318135)
Fairdeal enterprises,POINT (77.2764644 28.6310303)
Healthcare Pharmacy,POINT (77.2791485 28.6371904)
Pharmaville,POINT (77.2786742 28.631118)
Jagdamba chemist,POINT (77.2831332 28.634484)
Medical store,POINT (77.2806507 28.6323261)
Prem medical store,POINT (77.2790404 28.6376562)
Pradhan Mantri Bharatiya Jan Aushadhi Kendra,POINT (77.3041487 28.637447)
Ganpati Chemist Cosmetic Opticals,POINT (77.3176371 28.5996962)
Sai Raj Chemist,POINT (77.2816822 28.6330706)
Apollo Pharmacy,POINT (77.305956 28.6308917)
Health First Medicos,POINT (77.2898098 28.6228977)
City Medicos,POINT (77.2782395 28.6285004)
Apollo Pharmacy,POINT (77.3160822 28.6008552)
Wellcare Pharmacy,POINT (77.316313 28.6009377)
Chemist Point,POINT (77.3161011 28.6008779)
