name,geometry
Ahlcon International School,POINT (77.2881353 28.6120628)
Government Primary School for the Deaf,POINT (77.287413 28.6118017)
School for Mentally Retarded Children,POINT (77.2876138 28.6118221)
Aster Public School,POINT (77.2896107 28.6096116)
Rajkiya Sarvodaya Bal Vidyalaya,POINT (77.3185994 28.6138254)
MCD School,POINT (77.2757333 28.6327723)
National Victor Public School,POINT (77.3118241 28.631544)
DBSE,POINT (77.3121384 28.6307892)
Vivekanand International School,POINT (77.3140766 28.6319004)
,POINT (77.3155184 28.6351719)
Rajkiya Sarvodaya Kanya Vidyalaya (Jeeja Bai),POINT (77.3194623 28.6147038)
Vaidic Public School,POINT (77.3112651 28.6224543)
Bapu Public School,POINT (77.2892876 28.6133314)
MCPS Acharya Niketan,POINT (77.294443 28.6082167)
Adarsh Bal Vidyalaya,POINT (77.274201 28.6304676)
Manisha public school,POINT (77.2737215 28.6302337)
Einsteins play school,POINT (77.2734518 28.6300144)
Arena Animation,POINT (77.2963033 28.6419638)
Lakhi Public School,POINT (77.2939379 28.626934)
The Neev School,POINT (77.2911355 28.6229288)
Mamta Public School,POINT (77.3166492 28.6004549)
Bal Bhavan Public School,POINT (77.3025948 28.6187992)
Madrassa Jamia Islamia Latifia,POINT (77.2911697 28.6239305)
"Dr B.R. Ambedkar School of Specialised Excellence (ASOSE), IP Extension",POINT (77.3141765 28.631551)
"Rajkiya Pratibha Vikas Vidyalaya ,I.P. Extension",POINT (77.3144956 28.6315581)
Government Sarvodaya Bal Vidyalaya,POINT (77.3033963 28.6175093)
Government Sarvodaya Kanya Vidyalaya,POINT (77.3035273 28.6173633)
Cosmos Public School,POINT (77.3145291 28.601763)
,POINT (77.2840569 28.6139792)
Mac Marvels Montessori,POINT (77.2976485 28.6347567)
