name,geometry
Sapp Enterprises,POINT (77.276507 28.630963)
Marvelous Mart,POINT (77.3086643 28.6281191)
Health Ways,POINT (77.3087096 28.6281355)
Big Bazaar,POINT (77.2946184 28.5946223)
Smart Bazaar,POINT (77.2868959 28.6373301)
Khushi Stores,POINT (77.277767 28.6285682)
Shipra Departmental Store,POINT (77.2918056 28.6220348)
Evergreen Pastry Shop,POINT (77.2918611 28.6219751)
EasyDay Fresh,POINT (77.2795497 28.6272422)
Gupta Confectioners,POINT (77.3059267 28.6309907)
Kalra Store,POINT (77.2938102 28.6220805)
,POINT (77.2925493 28.6207688)
Your Everyday Super Store,POINT (77.2943032 28.6410393)
Vishal Mega Mart,POINT (77.3121335 28.6217015)
Sachdeva Departmental Store,POINT (77.2940003 28.6220586)
Sooraj Kerala Store,POINT (77.2950258 28.608523)
Choudhary Store,POINT (77.2933125 28.6227887)
Vishnu Provision Store,POINT (77.2954348 28.6229659)
Shri Mahalaxmi Store,POINT (77.2918528 28.6250761)
,POINT (77.2958492 28.6231557)
Laxmi General Store,POINT (77.2958461 28.623703)
Anup General Store,POINT (77.2958987 28.623841)
Preeti Store,POINT (77.2946574 28.6228554)
Shri Ganesh Traders,POINT (77.2948406 28.622641)
Uttaranchal Store,POINT (77.2926164 28.6237393)
,POINT (77.2949573 28.6085805)
,POINT (77.2932791 28.622163)
Wasim Bhai Handicap Booth,POINT (77.2889511 28.6232149)
Rajmandir Hypermarket,POINT (77.2914906 28.6387032)
Chandrapal Kirana Shop,POINT (77.2929377 28.6235724)
Rajmandir Hypermarket,POINT (77.2859976 28.6321061)
Mona Super Mart,POINT (77.2862057 28.6296686)
Star Confectionery Shop,POINT (77.2898333 28.6228908)
Fresh Signature,POINT (77.2859129 28.633068)
Shree Ganesh Grocery Store,POINT (77.2905624 28.6226704)
Himachal Kiryana Store,POINT (77.2918366 28.6233638)
,POINT (77.2765513 28.6287677)
Shree Ganesh Traders,POINT (77.2946919 28.6229143)
Imran Store,POINT (77.303371 28.6368308)
Soni Store,POINT (77.3033604 28.636761)
,POINT (77.3087411 28.6297334)
,POINT (77.3040147 28.6318948)
Smart Bazaar,POINT (77.2869286 28.6375524)
Shekhar General Store,POINT (77.2931925 28.62314)
South Indian Hot Chips,POINT (77.3032563 28.6353703)
Naveen Kirana Store,POINT (77.2949239 28.6278267)
Radhey General Store,POINT (77.2940095 28.6228234)
Bhati Dairy,POINT (77.2930513 28.6236188)
Mansoori General Store,POINT (77.2904639 28.6233616)
,POINT (77.2904805 28.623373)
,POINT (77.2906016 28.6234434)
,POINT (77.290296 28.6233302)
Haji Nizamuddin Store,POINT (77.2904526 28.6234216)
,POINT (77.2903541 28.6235591)
Shri Bala Ji Provision Store,POINT (77.2911864 28.6231788)
Aziz General Store,POINT (77.2906302 28.6231145)
Ikram Store,POINT (77.2905143 28.6233226)
Haji Nizamuddin Branch 2,POINT (77.2910145 28.6236897)
,POINT (77.2903275 28.6240099)
,POINT (77.2895701 28.6234071)
Arzan Store,POINT (77.2910895 28.6240716)
Shri Balaji Kirana Store,POINT (77.2903266 28.6239455)
,POINT (77.2902236 28.6235886)
,POINT (77.2900094 28.6234182)
,POINT (77.290172 28.6235981)
,POINT (77.2895966 28.6230989)
,POINT (77.2908201 28.6240027)
Rajjak Store,POINT (77.2907002 28.6239411)
,POINT (77.2905928 28.623882)
Bunty Store,POINT (77.2894596 28.6230489)
Premvati Traders,POINT (77.2892966 28.6237845)
,POINT (77.2894792 28.6235576)
,POINT (77.2895132 28.6241226)
People's Store,POINT (77.2899859 28.6243796)
Fair Price Shop,POINT (77.2898493 28.62437)
Aman Store,POINT (77.2903348 28.6242582)
Gupta Namkeen and Confectionery,POINT (77.2900028 28.6244762)
Bhardwaj Provision Store,POINT (77.2902781 28.6245797)
Aggarwal Store,POINT (77.2902083 28.6244759)
,POINT (77.2902538 28.6244099)
Saini Store,POINT (77.2776083 28.6292013)
Shree Balaji Complex,POINT (77.286568 28.6182715)
Shri Ganesh General Store,POINT (77.2975874 28.6347677)
Home Needs Supermarket,POINT (77.2926978 28.6081534)
SK General Store,POINT (77.2936718 28.6047654)
Gorgeous Shop,POINT (77.2931539 28.6053079)
