name,geometry
Base Hospital Delhi Cantt,POINT (77.1366732 28.6082403)
Goyal MRI & Diagnostic Centre,POINT (77.1893283 28.5647144)
Diyos,POINT (77.1946519 28.5660178)
Doctor Grover's Nursing Home,POINT (77.1469129 28.6284133)
Dr B R Sur Homoeopathic Medical college and Hospital,POINT (77.1684265 28.5862718)
"Vardhman Mahavir Medical College (VMMC) & Safdarjung Hospital, New Delhi",POINT (77.2064068 28.5685701)
Prem Chiktsa Kendra,POINT (77.1773627 28.5739982)
Kalawati Saran Children's Hospital,POINT (77.2110664 28.6357652)
"Sports Injury Centre, Safdarjung Hospital (Part of SJH), New Delhi",POINT (77.2054264 28.5681531)
Charak Palika Hospital NDMC,POINT (77.1770243 28.5853147)
Central Hospital (Northern Railways),POINT (77.2173905 28.6365867)
Lady Hardinge Medical College & Associated Hospitals,POINT (77.212909 28.634138)
VMMC & SAFDARJANG HOSPITAL,POINT (77.2067292 28.5686672)
Behl Hospital,POINT (77.1367669 28.6243272)
Safdarjung Hospital,POINT (77.1774582 28.5773794)
Aashlok Hospital,POINT (77.198976 28.566466)
Bhagat Hospital,POINT (77.1060923 28.6085331)
Sri Guru Nanak Charitable Hospital,POINT (77.146723 28.629893)
Arvind Medicare,POINT (77.2170294 28.6311711)
General Williams Hospital,POINT (77.2182706 28.6267808)
Research & Referal Hospital,POINT (77.1576228 28.5760974)
Guru Harkrishan Polyclinic Bangla Sahib,POINT (77.2092035 28.6267693)
JNU Health Centre,POINT (77.1676082 28.5495066)
Airport Health Organization,POINT (77.115956 28.5445057)
Medical Room,POINT (77.1538641 28.583431)
