name,geometry
Sawhney Medicos,POINT (77.1868863 28.6023889)
Anand Medical Stores,POINT (77.1869003 28.6023768)
Kunal Medicos,POINT (77.1765755 28.5659914)
Apollo Pharmacy,POINT (77.217038 28.6337914)
Medicine House,POINT (77.2173285 28.6338871)
Nath Brothers,POINT (77.2173585 28.6338668)
S.S. Medicos,POINT (77.1687667 28.5880799)
All India Chemist,POINT (77.1551331 28.5251396)
Gupta Brothers Druggist Private Limited,POINT (77.1246175 28.5464347)
,POINT (77.1589114 28.5677998)
,POINT (77.1597961 28.5678793)
Preet Medicos,POINT (77.2270265 28.6002519)
Youplus,POINT (77.2271857 28.600632)
Anand Drug Store,POINT (77.2274321 28.6001292)
Apollo Pharmacy,POINT (77.1670793 28.5486753)
KC Pharmacy,POINT (77.1670103 28.5486086)
Life Care Medicos,POINT (77.1694436 28.5526618)
Medicine House,POINT (77.1689867 28.5875719)
Krishna Store,POINT (77.122971 28.5963766)
Balaji Medicos,POINT (77.1230067 28.5964596)
Army Medical And General Store,POINT (77.1229528 28.5963388)
Bhartiya Medical General Store,POINT (77.1219529 28.5934787)
Sethi Medical And General Store,POINT (77.1219127 28.5933921)
Empire Stores Chemist,POINT (77.1346742 28.5964037)
Shivam Medicos Pharmacy,POINT (77.1206843 28.5934126)
Apollo Pharmacy,POINT (77.2085135 28.6337258)
R. K. Health Care,POINT (77.2067303 28.6324933)
Medsurg Pharma,POINT (77.2072974 28.6328049)
,POINT (77.1880635 28.5801009)
