name,geometry
,POINT (77.1384019 28.4896385)
,POINT (77.177701 28.5962679)
Govt. Girls Senior Secondary School,POINT (77.1842457 28.573859)
DPS International School,POINT (77.1783234 28.5697886)
Jose Martin Sarvodya Vidyalya,POINT (77.1781517 28.5712962)
Delhi International School,POINT (77.0578228 28.5642198)
Paramount International School,POINT (77.0574223 28.5637249)
Basava International School,POINT (77.055416 28.5648745)
The Indian Heights School,POINT (77.0527569 28.5618483)
Mount Carmel,POINT (77.0586025 28.560653)
M B Boys School,POINT (77.2002755 28.6350118)
Delhi Public School,POINT (77.1479893 28.5386253)
Government SChool,POINT (77.0591164 28.5611545)
,POINT (77.175441 28.5841578)
Mount Carmel School (Senior Wing),POINT (77.1652909 28.5760199)
DAV Public School,POINT (77.1727645 28.5743511)
Kendriya Vidyalaya,POINT (77.1638274 28.5721181)
,POINT (77.2329222 28.6052898)
Government Boys Senior Secondary School,POINT (77.1389634 28.4899855)
Bhatnagar International School,POINT (77.1540449 28.5295429)
Masjid-e-Quba Madrasa Islamia,POINT (77.1899811 28.5806388)
Kendriya Vidyalaya,POINT (77.1779814 28.5610558)
Aadyant,POINT (77.1498449 28.5324614)
Deshraj public school,POINT (77.1076037 28.5116999)
Learning Angels Play School,POINT (77.1217797 28.5944407)
Carmel Convent School,POINT (77.1881167 28.6013333)
Asha School Delhi Cantt.,POINT (77.1379852 28.6103924)
German school,POINT (77.1802814 28.594099)
