name,geometry
Vasant Square Mall,POINT (77.1561895 28.5247959)
Sector 23 Mall,POINT (77.0546328 28.564507)
Manish Global Mall,POINT (77.0594501 28.5601064)
Mini Market,POINT (77.1920395 28.5845103)
Mini Market,POINT (77.1917346 28.5845388)
Vivekanand Market,POINT (77.18232 28.5662)
Resto,POINT (77.2126048 28.6347993)
Garg Store,POINT (77.1871301 28.6021797)
,POINT (77.1866414 28.6026344)
Naveen Fruit Juice,POINT (77.1870201 28.602274)
CSD Canteen,POINT (77.0942892 28.5738626)
CSD Canteen,POINT (77.0991798 28.5761226)
Delhi Fruit State,POINT (77.1652051 28.5694757)
Organic Retail Store,POINT (77.21373 28.615713)
"28.572819230234074, 77.14062959499068",POINT (77.1414654 28.5720056)
CSD Canteen,POINT (77.1365833 28.6095667)
Palika Bazar,POINT (77.2189172 28.6307613)
Vishal Mega Mart,POINT (77.1250038 28.5464559)
24Seven,POINT (77.1258031 28.5476734)
24SEVEN,POINT (77.1616044 28.5919316)
Perona,POINT (77.1914406 28.5839977)
24Seven,POINT (77.1639197 28.557544)
Arora Departmental Store,POINT (77.1539959 28.5311994)
Cottage Emporium,POINT (77.2201793 28.6256334)
Malhotra General Store,POINT (77.2343913 28.6275206)
Delhi Organic Farmers Market (DOFM),POINT (77.2109121 28.6211627)
Sanfe,POINT (77.1883253 28.5701204)
"Inisfree, Ambience Mall",POINT (77.1547385 28.5413825)
Bombay Fruit Store,POINT (77.227423 28.6004338)
Krishna Store,POINT (77.2324843 28.6293912)
"Foodhall@MKT, Chanakyapuri",POINT (77.191197 28.5839732)
24Seven,POINT (77.2174503 28.6304116)
,POINT (77.1649274 28.5785662)
Farm Square,POINT (77.226251 28.5999838)
WPS AEROCITY,POINT (77.1102544 28.532657)
Jindal store,POINT (77.2252213 28.601557)
Meher,POINT (77.225811 28.6004953)
DMS Booth,POINT (77.1790781 28.561631)
Kendriya Bhandar,POINT (77.1771915 28.5598177)
Krishna Super Marché,POINT (77.199749 28.5654915)
NCCF,POINT (77.2195012 28.6335205)
NCCF,POINT (77.219286 28.6324674)
24Seven,POINT (77.208287 28.6392221)
Satya Print,POINT (77.1689217 28.5878063)
Giggle Store,POINT (77.1682865 28.5879735)
Cold Drink Hub,POINT (77.1683806 28.5880206)
Om Prints,POINT (77.1689051 28.5877471)
Vi,POINT (77.1688602 28.5877213)
Best Print,POINT (77.168874 28.5878707)
Goel Disposable House,POINT (77.1683298 28.5879022)
Lamination and Photocopy,POINT (77.1684203 28.5877527)
Food Hut,POINT (77.1683088 28.5879356)
Amul Shop,POINT (77.118198 28.5962071)
Pritam Store,POINT (77.1214013 28.595221)
,POINT (77.1691735 28.5867844)
Archna Pastry,POINT (77.1691909 28.5872224)
Friends Pan,POINT (77.1692774 28.587269)
New Morning Store,POINT (77.1691571 28.5872056)
Krishna Store,POINT (77.1692336 28.5875623)
,POINT (77.1688291 28.5876042)
Choice Paan,POINT (77.1687954 28.5875911)
Kuber,POINT (77.1705518 28.5871793)
Tea Cafe And Paan Shop,POINT (77.1231714 28.5967664)
Sangeet Store,POINT (77.1229309 28.596267)
Aakash Stationery And General Store,POINT (77.1231858 28.5968956)
Jaiswal Cake Shop,POINT (77.1223902 28.5953395)
Guru Nanak Store,POINT (77.1223571 28.5952656)
Vijay Vegetable,POINT (77.1225411 28.59559)
Chawla Confectionery,POINT (77.1223728 28.5953025)
Mange Ram Vijay Kumar,POINT (77.1227836 28.5951425)
Sharma Store,POINT (77.1231347 28.5958137)
Dogra Store,POINT (77.1231212 28.595787)
Pawan Store,POINT (77.1221143 28.5946508)
,POINT (77.1217315 28.5940336)
Anuj Store,POINT (77.1220303 28.594486)
Sanjay Store,POINT (77.1220381 28.5944997)
24/7,POINT (77.144777 28.5800759)
Amit Paneer Bhandar,POINT (77.1218861 28.5933432)
Mom's Bake,POINT (77.1219015 28.5933705)
Marwari Store,POINT (77.1209927 28.5925109)
Shri Shyaam Store,POINT (77.1209566 28.5932932)
Shivam Swadeshi Store,POINT (77.1206333 28.593432)
Parveen Store,POINT (77.1209754 28.5932854)
Harshit Store,POINT (77.1208285 28.5933517)
Patanjali Store,POINT (77.1204295 28.5930095)
Ramesh Pan,POINT (77.1324016 28.5969811)
Moti Pan,POINT (77.1324018 28.5968954)
Delhi Milk Scheme,POINT (77.123197 28.5961021)
Sheetal Snacks Point,POINT (77.2329117 28.626646)
Manas Provision Store,POINT (77.1216391 28.5939608)
Arora Store,POINT (77.1215906 28.5936458)
Jassal Store,POINT (77.1214302 28.5933619)
Bachat Bhandar,POINT (77.1213325 28.5933867)
Chowdhary Store,POINT (77.1524634 28.525426)
Ajay Traders,POINT (77.1096799 28.6127845)
Kamla Devi Store,POINT (77.1938281 28.573067)
Rajesh Store,POINT (77.1210112 28.5953655)
Guru Kripa Store,POINT (77.121431 28.5952128)
S.K. Enterprises,POINT (77.121096 28.5953216)
,POINT (77.2072825 28.626321)
,POINT (77.2028415 28.6226251)
Jain Store,POINT (77.186326 28.5647705)
Modi General Store,POINT (77.2262793 28.5999511)
Sharda Store,POINT (77.2263048 28.5999168)
Aggarwal Rice Store,POINT (77.2062025 28.6332864)
A M Store,POINT (77.2064788 28.633528)
Ration Store Siyaram and Co.,POINT (77.2061779 28.6332151)
Chakna Junction,POINT (77.206498 28.6335515)
,POINT (77.2096025 28.6324107)
Kendriya Bhandar,POINT (77.2040339 28.6349905)
Kendriya Bhandar,POINT (77.1831983 28.5789382)
Siyam Store,POINT (77.2206002 28.6307529)
Modern Bazaar,POINT (77.1640353 28.5590088)
Dwianshi Tea Stall,POINT (77.2236119 28.6335253)
Balraj & Company,POINT (77.2173834 28.6329515)
Balaji Store,POINT (77.2246838 28.633323)
