name,geometry
Saint soham hospital private,POINT (77.0352715 28.7983668)
Dr. Indra Hospital,POINT (77.0354003 28.7980095)
Dr. Rajeev Hospital,POINT (77.0353788 28.8006984)
Government hospital,POINT (77.0374388 28.8012625)
Satyawadi Raja Harish Chander Hospital,POINT (77.1032565 28.840596)
Maharishi Valmiki Hospital,POINT (77.048597 28.775826)
Children & Maternity Centre,POINT (77.1261114 28.7334154)
Saroj Hospital,POINT (77.1290461 28.7061564)
Kesar Hospital,POINT (77.1644781 28.7059502)
Prashant Nursing Home,POINT (77.1326764 28.7148991)
Sai Drishti Maternity Centre,POINT (77.1251957 28.7313713)
Bhagwan Mahavir Super Speciality Hospital,POINT (77.1294721 28.7057477)
Bhagwati Hospital,POINT (77.1295373 28.7191521)
nulife hospital,POINT (77.2078767 28.7011094)
Chouhan Hospital,POINT (77.1760006 28.8260731)
Nirmal Hospital,POINT (77.173096 28.820678)
Dr. Meena Indra Hospital,POINT (77.0356652 28.7984412)
Naman Hospital,POINT (77.101773 28.85958)
Devansh Hospital,POINT (77.0825296 28.7501926)
Airmid Hospital,POINT (77.144869 28.7449013)
Sanjeevani Hospital,POINT (77.085381 28.851102)
ESI TB Hospital,POINT (77.1401182 28.735014)
Delhi Global Hospital,POINT (77.1431698 28.7449215)
Sudarshan Hospital,POINT (77.089664 28.845479)
Sant Soham Hospital,POINT (77.033424 28.7974008)
Dr. Rakesh Multispeciality Hospital,POINT (77.0822963 28.8402532)
Shanti Mohan Hospital,POINT (77.082868 28.852043)
Maujiram Lions Eye Hospital,POINT (77.1797456 28.837695)
Skylife Multispeciality Hospital,POINT (77.1430972 28.7497815)
Aastha Hospital,POINT (77.1416494 28.7327628)
Shree Balaji Hospital,POINT (77.0352927 28.7985051)
Ishan Hospital,POINT (77.1397543 28.7336313)
City Hospital 42,POINT (77.1445171 28.7457338)
Aryan Hospital,POINT (77.0364781 28.7999135)
Vinayak Hospital,POINT (77.1870961 28.6985342)
Shradha Multi Speciality Hospital,POINT (77.088436 28.856633)
Jackson Hospital & Research Centre,POINT (77.121294 28.7375325)
Ekta Hospital,POINT (77.1405079 28.74831)
Budhho Devi Hospital,POINT (77.0913617 28.843007)
Dharmarth Hospital,POINT (77.1748098 28.7221236)
Sunrise Hospital,POINT (77.133406 28.730694)
Sushila Hospital,POINT (77.08365 28.8596954)
Shiv Jivodaya Janta Hospital,POINT (77.087491 28.844519)
K R Gangwal Hospital,POINT (77.1070231 28.8576922)
Samarpan Multispeciality Hospital,POINT (77.0884491 28.8427173)
Janta Hospital,POINT (77.077561 28.8416834)
Nirvana Hospital,POINT (77.1332663 28.731172)
HOD Ashok Vihar - House Of Diagnostics,POINT (77.1874885 28.6956326)
Vardayani Charitable Multi-Speciality Hospital,POINT (77.171616 28.7221086)
Anand Maya Multi Speciality Hospital,POINT (77.1600821 28.7299137)
Mahajan Hospital,POINT (77.1710383 28.7183028)
Parnami Orthopaedic Hospital,POINT (77.1734502 28.7136327)
Shanti Kumud Hospital,POINT (77.1701132 28.7176383)
ESIC Hospital,POINT (77.126818 28.7273448)
Hans Charitable Hospital,POINT (77.2083336 28.7003162)
Saroj Medical Institute,POINT (77.1390604 28.7340712)
BR Healthcare Rohini,POINT (77.1196309 28.7443866)
Tyagi Hospital,POINT (77.1681742 28.7187985)
