name,geometry
,POINT (77.0352125 28.7981223)
,POINT (77.0343328 28.7979343)
,POINT (77.0355129 28.8003599)
Apollo Pharmacy,POINT (77.1209198 28.7364658)
Shri Ram Medicos,POINT (77.1232675 28.7394895)
chemist shop,POINT (77.2075501 28.702617)
chemist,POINT (77.2164365 28.7134808)
Mahadev Medicos,POINT (77.1726465 28.7243716)
Pal Pharmacy,POINT (77.1693601 28.7230364)
Health Care Medicos,POINT (77.1738013 28.729215)
Jyoti Medicose,POINT (77.1749286 28.7305028)
,POINT (77.17323 28.7332992)
,POINT (77.1729695 28.7331499)
,POINT (77.1730713 28.7332052)
,POINT (77.1730105 28.7331735)
,POINT (77.1731704 28.7332669)
Shri Ram Medicos,POINT (77.1685116 28.7305729)
Astha Medicare,POINT (77.1646416 28.7272879)
Shakuntala Pharmacy,POINT (77.1627219 28.7290084)
Aggarwal Mediways,POINT (77.1621166 28.7326297)
Shivam Medicos,POINT (77.1626839 28.731997)
Sushmita Medicos,POINT (77.1670429 28.7228857)
Goyal Medicos,POINT (77.169107 28.7314318)
Shri Chemist,POINT (77.1697157 28.7223155)
Shri Balaji Medicos,POINT (77.1693137 28.721817)
Hanuman Medicos,POINT (77.1643092 28.7328724)
Ashirwad Ayurvedic Store,POINT (77.165837 28.7235897)
Red Dot Pharmacy,POINT (77.1740878 28.7195471)
Rama Medicos,POINT (77.162634 28.7414218)
Raj Medicos,POINT (77.1657522 28.7451312)
,POINT (77.1627035 28.7536039)
Sunrise Medicose,POINT (77.1683621 28.724014)
Chhabra Medicos,POINT (77.1601854 28.7436714)
Surender Medicos,POINT (77.1604672 28.7465303)
Kanhaiya Medicos,POINT (77.1638711 28.7433776)
Chauhan Mediways,POINT (77.1603162 28.7452384)
Medipoint Medicos,POINT (77.1749655 28.7168161)
Shri Balaji Medicos,POINT (77.1611552 28.7466106)
Kiran Medical Store,POINT (77.1678798 28.7443622)
Ravi Medicos,POINT (77.1716228 28.7180676)
Vardhman Medicos,POINT (77.1708087 28.7173276)
Tata 1mg,POINT (77.2076675 28.6988678)
Shri Parshuram Medicos,POINT (77.116388 28.737777)
Parkash Medical Store,POINT (77.1423951 28.7440311)
Jan Seva Medicos,POINT (77.2055105 28.6982076)
Zeelab Pharmacy,POINT (77.2081009 28.6996644)
Durga Medicos,POINT (77.1364633 28.7216606)
Bharat Medicos,POINT (77.1366049 28.7213274)
Apollo Pharmacy,POINT (77.1273577 28.7235332)
Medi-Shoppe,POINT (77.1277305 28.7234649)
,POINT (77.1278059 28.7235116)
Narula Medicos,POINT (77.1232051 28.7070036)
