name,geometry
Government(Bada school),POINT (77.0372885 28.7946905)
HIRA YOGA TRAINING KENDER,POINT (77.1344924 28.7551761)
Govt. School,POINT (77.2164605 28.714491)
Evolution dance school,POINT (77.0512991 28.8032691)
Kendrya Vidyalya,POINT (77.1699743 28.7051428)
Government school,POINT (77.126039 28.7369367)
BCC Model School,POINT (77.1193927 28.7396725)
Snehil Frontline Special School,POINT (77.1195329 28.7397795)
Kids Temple Public School,POINT (77.1214922 28.7385379)
Alok Bharti Public School,POINT (77.128777 28.7364974)
MC Primary School J-Block Sec-16 Rohini,POINT (77.1306159 28.7392311)
Delhi International Public School,POINT (77.1291872 28.7367974)
Rockfield Public School,POINT (77.1248235 28.734744)
Ryan Shalom Montessori,POINT (77.1241352 28.7346232)
MCD school,POINT (77.1286156 28.7330379)
Native Public School,POINT (77.1702275 28.7246014)
Modern Education Public School,POINT (77.1633984 28.7305602)
Sharda Public School,POINT (77.1681427 28.7202814)
Saint Model Public School,POINT (77.1682228 28.7243163)
Arya Hansraj Model School,POINT (77.1670311 28.7335313)
,POINT (77.1706397 28.7209109)
Madarsa Daruluoom Hamidia,POINT (77.1733823 28.7289581)
Darshan Academy,POINT (77.1943027 28.6943452)
,POINT (77.1627691 28.7406356)
,POINT (77.1611524 28.7400888)
,POINT (77.1631194 28.7551751)
,POINT (77.1612643 28.7521862)
Sky Public School,POINT (77.1606342 28.7438961)
Jingle Bell School,POINT (77.1778744 28.7201841)
Aryan Model Public School,POINT (77.1611125 28.7466071)
,POINT (77.1707573 28.727873)
School Entrance,POINT (77.0164121 28.8357081)
"Sarvodaya Bal Vidyalaya, Tikri Khurd",POINT (77.1283236 28.8335293)
