name,geometry
Anil Traders,POINT (77.1203743 28.7395318)
Sanjay Pan,POINT (77.1195844 28.7350339)
laxmi store,POINT (77.2066703 28.7026547)
Jaivik Haat PGS-India Regional Council,POINT (77.1296923 28.7144056)
,POINT (77.1749861 28.7304306)
,POINT (77.1718834 28.728234)
Ravi Store and Photocopy,POINT (77.1737131 28.729069)
,POINT (77.1679292 28.7354528)
Samanti General Store,POINT (77.1684723 28.7343679)
,POINT (77.1679022 28.7349359)
,POINT (77.1680183 28.7342374)
,POINT (77.1681414 28.7331429)
,POINT (77.1681859 28.7331052)
,POINT (77.1679149 28.7330496)
,POINT (77.1680802 28.7328186)
,POINT (77.1675431 28.732612)
,POINT (77.1659148 28.725288)
Sharma General Store,POINT (77.1663972 28.7246228)
,POINT (77.1654254 28.7250301)
,POINT (77.1637661 28.7291525)
,POINT (77.1630183 28.7288667)
,POINT (77.1630529 28.7289383)
Divya General Store,POINT (77.1694699 28.7319579)
,POINT (77.1623911 28.7294654)
,POINT (77.1621745 28.7298623)
Shankar Dairy,POINT (77.162149 28.7298008)
Garg Trading Co.,POINT (77.1618221 28.730482)
Mangla Store,POINT (77.161779 28.7304506)
Ankit Store,POINT (77.1618763 28.7304991)
Anuj Store,POINT (77.1610431 28.7322951)
,POINT (77.1612881 28.731982)
,POINT (77.1607982 28.7321689)
,POINT (77.1606858 28.7318461)
,POINT (77.1604659 28.7320751)
,POINT (77.1611728 28.7323807)
,POINT (77.160915 28.7324068)
,POINT (77.1608578 28.7323679)
,POINT (77.1619557 28.7329808)
,POINT (77.1648385 28.7289459)
,POINT (77.1641519 28.7297264)
,POINT (77.1639666 28.7301206)
,POINT (77.1639537 28.7302576)
Kashish Store,POINT (77.1637491 28.7303472)
Sunder Vastu Bhandar,POINT (77.163111 28.7312479)
Tirth Raj General Store,POINT (77.162163 28.7325669)
Balaji Store,POINT (77.162273 28.7324166)
Vishnu Store,POINT (77.1624113 28.7320713)
Manoj General Store,POINT (77.1626109 28.7319542)
Charu Store,POINT (77.1624373 28.732085)
,POINT (77.1628942 28.7314862)
Nabya General Store,POINT (77.167094 28.7228015)
Rachna Store,POINT (77.1738083 28.7257918)
Gopal General Store,POINT (77.173002 28.7258788)
,POINT (77.1747069 28.7258865)
Deepali Wholesale Store,POINT (77.1734284 28.7266845)
,POINT (77.1752083 28.7264021)
Dubey Store,POINT (77.1737264 28.7262852)
Sharma Store,POINT (77.1691243 28.7314371)
,POINT (77.1666191 28.7322003)
,POINT (77.1664845 28.7323942)
,POINT (77.1663482 28.7323227)
,POINT (77.1752799 28.7259479)
,POINT (77.176951 28.7285036)
,POINT (77.1762193 28.7277702)
,POINT (77.176539 28.7282091)
,POINT (77.1760467 28.7277154)
,POINT (77.1763527 28.7278517)
,POINT (77.1779757 28.7286462)
,POINT (77.1782205 28.7278862)
,POINT (77.1711708 28.7234195)
Reena General Store,POINT (77.1787342 28.7274508)
,POINT (77.1783731 28.7267642)
Parul General Store,POINT (77.1775602 28.7281713)
,POINT (77.1782274 28.7272958)
Radhey Radhey Store,POINT (77.1691371 28.7217469)
Janta Store,POINT (77.1694581 28.7219778)
,POINT (77.1694487 28.7209969)
A One Store,POINT (77.1690681 28.7215045)
Shri Ji Departmental Store,POINT (77.169297 28.7219437)
Jagdamba Store,POINT (77.1669192 28.7235469)
Sonu General Store,POINT (77.1676637 28.7319878)
,POINT (77.1664169 28.7323588)
