name,geometry
Jag Pravesh Chandra Hospital,POINT (77.262937 28.6764665)
Mohan Nursing Home & Hospital,POINT (77.267766 28.702744)
Kamaal Nursing Home,POINT (77.2718597 28.6798998)
Luv Kush Hospital,POINT (77.2687617 28.724975)
Lal Hospital,POINT (77.2832977 28.7025443)
Vasist Hospital,POINT (77.280317 28.701646)
Dr Chaudhry's Moral Hospital,POINT (77.2724415 28.7023722)
Panchsheel Hospital,POINT (77.279607 28.7017)
Neha Hospital,POINT (77.2658014 28.7196717)
Triveni Hospital,POINT (77.2666955 28.7207367)
Vinod Karhana Hospital,POINT (77.2626857 28.712504)
Muskan Hospital,POINT (77.2548371 28.6919851)
Asian Samra Multi Speciality Hospital,POINT (77.278726 28.701808)
Kavita Poly Clinic & Hospital,POINT (77.2704213 28.7261791)
Mavi Hospital,POINT (77.263533 28.7134013)
White House Hospital,POINT (77.2784256 28.7018331)
INDIAN BAGHEERA VETERINARY HOSPITAL,POINT (77.2921256 28.6944964)
