name,geometry
Ayurvedic Mental Hospital,POINT (77.1497987 28.7237864)
Tamish,POINT (77.1045409 28.699593)
Savera Hospital,POINT (77.1222079 28.6884962)
Asha kiran mental hospital,POINT (77.0958863 28.7028126)
Saral Diagnostics,POINT (77.1287968 28.6944136)
Attar Sain Jain Hospital,POINT (77.1502237 28.6821792)
Savitri Hospital,POINT (77.1471281 28.686033)
MH Haiderpur,POINT (77.1515703 28.7235001)
Kuber Hospital,POINT (77.1357109 28.6900528)
"Max Multi Speciality Centre, Pitampura",POINT (77.1517793 28.6931702)
Dr BD Attam Hospital and Medical Research Centre,POINT (77.1734959 28.6960546)
Muni Maya Ram Jain Hospital,POINT (77.141187 28.700019)
Medha Hospital,POINT (77.1449278 28.7045697)
MCD Maternity Government Hospital,POINT (77.1176777 28.7113776)
Arora Nursing Home,POINT (77.1528872 28.7141757)
Jiwan Charitable Hospital,POINT (77.0858096 28.6897352)
Karala Government Hospital,POINT (77.037425 28.7321173)
Upchar Nursing Home,POINT (77.1772633 28.6975051)
Garg Nursing Home,POINT (77.157259 28.6790286)
Santom Hospital,POINT (77.1383483 28.7140205)
"Manna Clinic & Maternity Home, Rani Bagh",POINT (77.1315855 28.6857157)
Rashmi Hospital,POINT (77.1473691 28.7025469)
Jhamb Maternity and Medical Centre,POINT (77.1540084 28.7090339)
North Delhi Nursing Home,POINT (77.179557 28.696547)
Family Hospital,POINT (77.0983471 28.7013032)
Kumar Medical & Maternity Centre,POINT (77.160742 28.7041641)
Brahm Shakti Hospital,POINT (77.081262 28.712357)
D.R. Nursing Home,POINT (77.1730105 28.6963486)
Kanta Sethi Hospital,POINT (77.0988184 28.7012483)
Maheshwari Hospital,POINT (77.1419875 28.7122011)
Dhruv Hospital,POINT (77.0857544 28.6890276)
Raj Poly Clinic Hospital,POINT (77.0530355 28.6989183)
Jain Muni Roshan Lal Charitable Hospital,POINT (77.162161 28.6751133)
Kesar Hospital,POINT (77.0591 28.695522)
Hitaishi Hospital,POINT (77.1225618 28.7057013)
Dispensary Child Welfare Centre,POINT (77.1330548 28.6887375)
Gahlot Hospital,POINT (77.043677 28.704823)
Navjeevan Hospital,POINT (77.1088735 28.6948742)
Choudhary Hospital,POINT (77.1481284 28.6900075)
Saransh Hospital,POINT (77.1324657 28.6887151)
Jeevandan Hospital,POINT (77.0549322 28.6952239)
Jeevan Daan Hospital,POINT (77.054191 28.698019)
Marg Hospital,POINT (77.0513459 28.6997775)
Naturopathy Hospital,POINT (77.1431096 28.7272273)
Tyagi Hospital,POINT (77.0902773 28.6912301)
Avantika Multispeciality Hospital,POINT (77.1085167 28.6979066)
Shri Multan Sewa Samiti Eye Care Hospital,POINT (77.1302581 28.6942651)
Aggarwal Nursing Home,POINT (77.1804445 28.6766024)
O.P. Memorial Hospital,POINT (77.0965459 28.6992105)
Arogya Care,POINT (77.0588261 28.6958743)
Savitri Hospital,POINT (77.0128194 28.7353344)
Bawasher Hospital,POINT (77.1761804 28.6742139)
Kukreja Hospital,POINT (77.053765 28.696354)
New Rohini Hospital,POINT (77.0963422 28.6995752)
Sanjeevan Surgical Centre,POINT (77.0962764 28.6992877)
Government Dispensary,POINT (77.1511902 28.6705615)
DGD Prem Nagar,POINT (77.1624729 28.66261)
