name,geometry
Kendriya Vidhyalya,POINT (77.1578285 28.6826588)
Sarvodaya Kanya Senior Secondary School,POINT (77.1560501 28.6896388)
,POINT (77.1114558 28.6927134)
DAV Public School Pushpanjali,POINT (77.1081266 28.6939915)
,POINT (77.1370459 28.697473)
St. Prayag school,POINT (77.1168424 28.6918581)
Mount abu junior branch school,POINT (77.1023916 28.7117973)
Decent Public School,POINT (77.1072435 28.7069273)
,POINT (77.1189585 28.7117425)
My Play School,POINT (77.159657 28.7072002)
Little Kingdom,POINT (77.1228826 28.7059898)
Pole Star,POINT (77.0969816 28.6986861)
