name,geometry
Big Bazaar,POINT (77.152883 28.6961415)
Gayway Bakers,POINT (77.142078 28.6699715)
Local Shopping Complex,POINT (77.1403379 28.69579)
Kishori Store,POINT (77.1314226 28.6852169)
,POINT (77.1328985 28.6837456)
,POINT (77.1284111 28.6843068)
,POINT (77.128328 28.684308)
,POINT (77.1324834 28.6849945)
,POINT (77.1323486 28.6866104)
,POINT (77.1323164 28.6866716)
Vegetables,POINT (77.1167138 28.6917127)
More,POINT (77.1142763 28.7168703)
"East Avenue market, east punjabi bagh",POINT (77.1424226 28.6689849)
iOrganic,POINT (77.177879 28.6894512)
"Organic Harvest, wazir pur",POINT (77.1518297 28.7246928)
"Aryanveda Cosmeceuticals, Rohini",POINT (77.1140943 28.7118409)
Trnatva,POINT (77.1558293 28.7029695)
Upakarma,POINT (77.1527752 28.6960985)
,POINT (77.160455 28.7243486)
The Super Market,POINT (77.0885737 28.7328276)
Smart Bazaar,POINT (77.1125072 28.7188196)
Krishna Dairy,POINT (77.1092907 28.7358921)
Shree Shyam Kiryana Store,POINT (77.109328 28.73587)
Jagdamba Store,POINT (77.1098994 28.7354776)
Shri Hari Om Kiryana Store,POINT (77.1103758 28.7351513)
Rajeshwar Mandir Supermart,POINT (77.1363557 28.7105449)
Patanjali Store,POINT (77.1382054 28.7133881)
A One Super Market,POINT (77.1227222 28.7064701)
