name,geometry
Delhi Heart and Lung Institute Super Speciality Hospital,POINT (77.2052683 28.6416777)
R D Jindal Charitable Clinic,POINT (77.2251207 28.6454365)
Surbhi hospital,POINT (77.2164415 28.6491348)
Dr. Krishan Gola,POINT (77.212921 28.6467122)
Delhi Institute Of Trauma and Orthopaedics,POINT (77.2241288 28.6778506)
Sushruta Trauma Centre,POINT (77.2283852 28.6797783)
New Delhi Municipal Council Polyclinic,POINT (77.2111811 28.633024)
Kalawati Saran Children's Hospital,POINT (77.2110664 28.6357652)
Maulana Azad Institute of Dental Sciences,POINT (77.236999 28.6371532)
Central Hospital (Northern Railways),POINT (77.2173905 28.6365867)
Lady Hardinge Medical College & Associated Hospitals,POINT (77.212909 28.634138)
Free Maternity & Child Welfare Centeri,POINT (77.2308534 28.6472649)
DGD Pulbangash,POINT (77.212246 28.664396)
"DGD, Suiwalan",POINT (77.2351031 28.6447506)
Sunder Lal Jain Eye Hospital,POINT (77.2098206 28.6495013)
Kasturba Hospital,POINT (77.2359282 28.649831)
"Unani Dispensary, Ballimaran",POINT (77.2255581 28.6545609)
"DGD, Nabi Karim",POINT (77.21111 28.650165)
Parmarth Mission Hospital,POINT (77.1979673 28.6810176)
Aruna Asaf Ali Government Hospital,POINT (77.2178501 28.6697661)
"ESI Dispensary, Chuna Mandi Paharganj",POINT (77.2098113 28.6427947)
Dr. N. C. Joshi Memorial Hospital,POINT (77.1994853 28.6529654)
Navjoyti Eye Centre,POINT (77.2424612 28.6435226)
Gouri Hospital Ltd,POINT (77.20819 28.6796305)
Sanjivini Nursing Home,POINT (77.2007198 28.6814911)
Sharma Medical Center,POINT (77.209831 28.6494565)
"CGHS Dispensary, C.G. Road",POINT (77.2084424 28.642259)
Tirath Ram Shah Hospital,POINT (77.2162565 28.6708223)
Neera Eye Centre,POINT (77.2427645 28.6424432)
Mahavir International Eye Hospital,POINT (77.2157522 28.6598583)
Sabharwal Hospital,POINT (77.2385497 28.6443841)
Dehli Hospital,POINT (77.2450734 28.6418873)
Dr. P.N. Behl Skin Clinic,POINT (77.2424546 28.6432419)
Jan Kalyan Health Care Centre,POINT (77.199157 28.649289)
Sanjeevan Hospital,POINT (77.2429413 28.6412816)
Khadija National Hospital,POINT (77.2381596 28.6437984)
Aggarwal Dharmarth Hospital,POINT (77.1976619 28.6812368)
Dr Preetam Singh,POINT (77.2019079 28.6767333)
Dr. Grover's Clinic,POINT (77.2080449 28.6772095)
Banwari Lal Charitable Trust Diagnostic Centre,POINT (77.2042941 28.6420044)
Kasturba Hospital,POINT (77.2385223 28.6485447)
SGD Diagnostic Centre,POINT (77.2034195 28.6572596)
Ayush Polyclinic,POINT (77.2040074 28.6399323)
Apollo Diagnostica Bones & Joints Clinic,POINT (77.207086 28.6325356)
Ballani Skin Aesthetics,POINT (77.2073014 28.6328201)
Dr. Shroff Charity Eye Hospital,POINT (77.242051 28.6459381)
Aam Aadmi Mohalla Clinic,POINT (77.20252 28.6801418)
