name,geometry
R. S. Medicos,POINT (77.2129328 28.6467075)
Bhagwati Medicos,POINT (77.2132438 28.6467013)
Unnamed,POINT (77.2128151 28.6466897)
Apollo Pharmacy,POINT (77.217038 28.6337914)
Medicine House,POINT (77.2173285 28.6338871)
Nath Brothers,POINT (77.2173585 28.6338668)
Next Door Pharma,POINT (77.2081362 28.6781389)
Vinod Medicos,POINT (77.2114515 28.6377937)
Apollo Pharmacy,POINT (77.2085135 28.6337258)
Shiv Pharmaceuticals,POINT (77.2252891 28.6568226)
Narang medical store,POINT (77.2256782 28.6564271)
Rai Sahab Seth Girdhari Lal,POINT (77.224527 28.6587821)
R. K. Health Care,POINT (77.2067303 28.6324933)
Medsurg Pharma,POINT (77.2072974 28.6328049)
Satyawati Pharmacy,POINT (77.1998614 28.6826449)
