name,geometry
M B Boys School,POINT (77.2002755 28.6350118)
Government Sarvoday Bal Vidyalaya,POINT (77.2303905 28.6327017)
Swami Hariharanand Public School,POINT (77.2403662 28.6627534)
Unnamed,POINT (77.2359195 28.6589497)
Unnamed,POINT (77.2069986 28.6636)
L.N. Girdharri Lal,POINT (77.2237125 28.6587675)
Govt Co Ed Senior Secondary School,POINT (77.2023033 28.6843546)
Municipal Corporation Primary School,POINT (77.2027529 28.6799307)
निगम प्राथमिक विद्यालय,POINT (77.2020054 28.6800535)
Central Baptist Church Primary school,POINT (77.2336847 28.6564137)
