name,geometry
Unnamed,POINT (77.2133239 28.641578)
nitin,POINT (77.2558724 28.6845937)
Reliance Fresh,POINT (77.2108527 28.645693)
Resto,POINT (77.2126048 28.6347993)
Bhumi Spices Shop,POINT (77.213101 28.64038)
Unnamed,POINT (77.2183234 28.643629)
bioQ eco solutions,POINT (77.2006596 28.6556314)
24Seven,POINT (77.2406593 28.643798)
NCCF,POINT (77.2195012 28.6335205)
NCCF,POINT (77.219286 28.6324674)
24SEVEN,POINT (77.2079533 28.6788463)
COMBONATION,POINT (77.2083236 28.6802593)
24Seven,POINT (77.208287 28.6392221)
La Pino'z Pizza,POINT (77.2082074 28.6797783)
Cafe Coffee Day,POINT (77.2082169 28.6798041)
Unnamed,POINT (77.2080437 28.6775104)
Unnamed,POINT (77.2087908 28.6669797)
Need Corner,POINT (77.2088369 28.6669717)
Ajit Singh Harminder Singh Amritsari Papad and Badiyan,POINT (77.2308187 28.655645)
Mohabbat Ka Sharbat,POINT (77.2254509 28.6564334)
Aggarwal Cold Drinks,POINT (77.2240571 28.6587599)
Aggarwal Rice Store,POINT (77.2062025 28.6332864)
A M Store,POINT (77.2064788 28.633528)
Ration Store Siyaram and Co.,POINT (77.2061779 28.6332151)
Chakna Junction,POINT (77.206498 28.6335515)
Unnamed,POINT (77.2096025 28.6324107)
Kendriya Bhandar,POINT (77.2040339 28.6349905)
Delhi Milk Scheme,POINT (77.2069478 28.6827998)
Seth Mini Mart,POINT (77.2006493 28.6828848)
Mr. D.I.Y.,POINT (77.20601 28.6826995)
Dwianshi Tea Stall,POINT (77.2236119 28.6335253)
Balraj & Company,POINT (77.2173834 28.6329515)
Balaji Store,POINT (77.2246838 28.633323)
