name,geometry
Pushpawati Singhania Hospital and Research Institute,POINT (77.2254277 28.53312)
Adiva Hospital,POINT (77.2064208 28.5583994)
Cygnus Orthocare Hospital,POINT (77.1973263 28.5460823)
"Rosewalk - Premium Birthing, Feminine care",POINT (77.2118358 28.5436294)
Max Multi Speciality Centre,POINT (77.214298 28.5434575)
Balhara's Le Cure Hospital,POINT (77.2014454 28.5097683)
Rural Medical Centre,POINT (77.1965361 28.5158966)
National Institute of TB and Respiratory Diseases,POINT (77.1900425 28.529118)
Manchanda Hospital,POINT (77.1836992 28.4943675)
Mehta Hospital,POINT (77.2312921 28.523344)
Aakash Hospital,POINT (77.2148651 28.5350359)
Aman Medical Centre,POINT (77.1812935 28.5216502)
Sukhmani Hospital,POINT (77.2005001 28.5597233)
Vardaan Hospital,POINT (77.2149447 28.5372268)
Leekha Nursing Home,POINT (77.2080381 28.5520278)
Bhagwati Hospital,POINT (77.1788654 28.5241613)
Medeor Hospital,POINT (77.1810712 28.5374555)
Healing Touch Hospital,POINT (77.2073754 28.5427709)
Sunil Hospital and Nursing Home,POINT (77.2091623 28.5358718)
Vibhu Nursing Home,POINT (77.2083916 28.5347579)
Satyam Medical Centre,POINT (77.1864475 28.5412998)
NDMS Park,POINT (77.1938033 28.4851071)
Gendox Hospital,POINT (77.1733997 28.519682)
Vashishta Clinics & Hospital,POINT (77.2079327 28.5352441)
K.R. Hospital,POINT (77.1848394 28.5074677)
Neptune Hospital,POINT (77.2026545 28.5324257)
Orthostar Hospital,POINT (77.2314148 28.5083921)
Yogmaya Multispeciality Hospital,POINT (77.1833094 28.4943274)
BSF Hospital,POINT (77.2407796 28.5109301)
Bal Kishan Memorial Hospital,POINT (77.2346317 28.5118287)
Kunj Eye Hospital,POINT (77.237142 28.500025)
Sawan Neelu Angel's Multispeciality Hospital,POINT (77.215201 28.522116)
Arpan Hospital,POINT (77.2374101 28.5104176)
Vikas Hospital,POINT (77.1743007 28.5193612)
AIIMS Urban Health Centre,POINT (77.242704 28.5221871)
Dr. Sunder Lal Memorial Hospital,POINT (77.231747 28.5063405)
Adarsh Hospital,POINT (77.2223229 28.535139)
Dhan Devi Charitable Hospital,POINT (77.2363897 28.5253365)
Apex Hospital,POINT (77.1843915 28.5001805)
Balak Ram Hospital,POINT (77.202496 28.5114808)
Ambedkar Nagar Hospital,POINT (77.2383804 28.5223965)
