name,geometry
,POINT (77.1676347 28.5097958)
Vihan Medico,POINT (77.2145726 28.534559)
Sree Durga Chemist,POINT (77.215931 28.5321445)
,POINT (77.1660199 28.5120076)
Batra Medicos,POINT (77.2057547 28.5251093)
Anand Chemist,POINT (77.1844678 28.4935774)
Apollo Pharmacy,POINT (77.2150996 28.5220709)
Fortis Healthworld,POINT (77.2145037 28.5225508)
Yana Medicos,POINT (77.203512 28.5179925)
Care,POINT (77.2133844 28.5377121)
Apollo Pharmacy,POINT (77.2311056 28.5336799)
Rajdhani Chemist,POINT (77.227032 28.5161687)
Apollo Pharmacy,POINT (77.2121964 28.5365075)
Shri Kamal Medicos,POINT (77.205683 28.5252939)
Maxwell Chemist,POINT (77.2093782 28.5340749)
Shri Krishna Medicos,POINT (77.2054037 28.5148672)
VS Chemist and Cosmetics,POINT (77.2053158 28.5146574)
Ritu Medicos,POINT (77.2051592 28.5143241)
Anupam Chemist,POINT (77.2059622 28.5164274)
Kaushik Medicos,POINT (77.2067153 28.5189379)
gotam medical stor,POINT (77.2168007 28.5348606)
Durga chemist,POINT (77.2177772 28.5328634)
Suhani Medicos and Cosmetics,POINT (77.2167688 28.5309146)
eeshwar,POINT (77.2170413 28.5340857)
v.g and co. ,POINT (77.2167394 28.5352006)
medicine point,POINT (77.219189 28.5341134)
health care medicos,POINT (77.2168741 28.5347196)
JKM medecos,POINT (77.2220785 28.5344046)
Batra Medicos,POINT (77.2087722 28.5336885)
Maa Nav Durga Medicos,POINT (77.1995949 28.5075171)
All India Chemist,POINT (77.1998817 28.5074226)
Shri Ram Medicos,POINT (77.2046819 28.5143312)
,POINT (77.1850008 28.5407863)
Aggarwal Medical Store,POINT (77.1828519 28.5013209)
,POINT (77.1838628 28.4571837)
Sanjivani,POINT (77.23383 28.5138568)
,POINT (77.2312756 28.5233637)
Baba Nanak Medicos,POINT (77.198593 28.5381556)
Kunal Medicos,POINT (77.1939495 28.561458)
SK Medicos,POINT (77.1689977 28.5221317)
NG Pharmacy,POINT (77.2016392 28.5097146)
Aggarwal Sons Medical Mart,POINT (77.1764903 28.5071089)
Nav Durga Medicos,POINT (77.1999808 28.5071922)
Shri Banke Bihari Medical Store,POINT (77.1796985 28.5198585)
Akshay Medicos,POINT (77.1796793 28.5201233)
Neethi Medical Store,POINT (77.189388 28.4953283)
The Helpline Pharmacy,POINT (77.2110304 28.5283092)
Shree Narayan Pharmacy,POINT (77.2108339 28.528449)
Indian Medicos,POINT (77.2105819 28.5284356)
Krishna Help Pharmacy,POINT (77.2102559 28.5284829)
Irex Pharmacy,POINT (77.2102825 28.5284722)
Healthskool Pharmacy,POINT (77.2131401 28.5374327)
Guardian Pharmacy,POINT (77.2119629 28.5362892)
NK Pharmacy,POINT (77.2078468 28.5381057)
