name,geometry
Heritage International School,POINT (77.166546 28.5084497)
Deep Public School,POINT (77.1634819 28.5117155)
Bharat Vasisht Vidya Mandir,POINT (77.1285742 28.4717157)
Sahoday Senior Secondary School,POINT (77.2002206 28.5526424)
Little Ones Public School,POINT (77.2035198 28.519551)
FORE School of Management,POINT (77.1849245 28.5370038)
المدرسة العراقية,POINT (77.2049515 28.556265)
Soami Nagar Model School,POINT (77.2254741 28.5440473)
The Pinnacle School,POINT (77.2279586 28.5448773)
Soami Nagar Pre-Primary School,POINT (77.2257564 28.543396)
,POINT (77.1217455 28.4736928)
Saint Mary's Junior School,POINT (77.203907 28.5123981)
s6 BHIM Singh ni was,POINT (77.218045 28.5309957)
SH Computer Education,POINT (77.2170319 28.5309108)
Sant Nirankari,POINT (77.2177052 28.535831)
Swarn public school,POINT (77.2185763 28.5330124)
swarn public school,POINT (77.219553 28.5332175)
,POINT (77.2281724 28.5191896)
Kendriya Vidyalaya,POINT (77.2239646 28.5204901)
Saint Mary's School,POINT (77.2061624 28.5051676)
,POINT (77.1896796 28.5238936)
Government Sarvodaya Vidyalaya,POINT (77.1841549 28.4588686)
दिल्ली नगर निगम आदर्श प्राथमिक सह शिक्षा विद्यालय,POINT (77.1941669 28.5622495)
Ramanujan Sarvodaya Kanya Vidyalaya,POINT (77.1799665 28.5231246)
,POINT (77.1773673 28.5229593)
,POINT (77.2134518 28.5369319)
Darul Qur'an Madrasa Abdurrahman Tahfizul Qur'an,POINT (77.2143363 28.5295756)
Baba Banda Singh Bahadur Memorial Secondary School,POINT (77.1816408 28.5217944)
Saint John's School,POINT (77.1816816 28.5215056)
,POINT (77.1986814 28.5471568)
MCD Primary school No. 2,POINT (77.2351102 28.5249774)
Modern Green Valley public school,POINT (77.2239141 28.4970991)
Surjit Wasu Memorial Charitable school,POINT (77.220101 28.4957034)
Bright Future Point,POINT (77.2163072 28.5489881)
