name,geometry
Matri Department Store,POINT (77.2018735 28.5390271)
Anand Supermart,POINT (77.1646775 28.509265)
Seva Store,POINT (77.2079787 28.5357806)
Priyanka Stores,POINT (77.2104968 28.5230504)
Super Departmental,POINT (77.2108507 28.5231259)
Gaurav General Store,POINT (77.2170519 28.5328419)
,POINT (77.2156504 28.5198908)
,POINT (77.2146736 28.5226265)
subhiksha market,POINT (77.2353368 28.5006269)
Gupta Store,POINT (77.1823822 28.5454462)
,POINT (77.2147726 28.5294051)
24Seven,POINT (77.2125645 28.5405871)
Daily Needs,POINT (77.2127105 28.5397649)
EasyDay Club,POINT (77.2009847 28.509205)
Munafa Mart,POINT (77.2015855 28.5095778)
Bajrang General Store,POINT (77.1981728 28.5077156)
Bhutani Store,POINT (77.2088114 28.5335037)
Rajmandir Hyper Market,POINT (77.2128608 28.539618)
Gore General Store,POINT (77.2004955 28.5192211)
,POINT (77.1972433 28.5060195)
,POINT (77.1971154 28.506516)
,POINT (77.1972026 28.5054218)
,POINT (77.1970324 28.5067539)
Pintu Store,POINT (77.2021905 28.5111518)
24Seven,POINT (77.2326469 28.5380229)
24Seven,POINT (77.2123606 28.5373354)
Munafa Mart,POINT (77.2101878 28.5348044)
,POINT (77.2050999 28.5141931)
dinesh store,POINT (77.2177621 28.5309569)
vinod,POINT (77.2164351 28.5309047)
,POINT (77.2196431 28.5345822)
Chauhan general store,POINT (77.2214448 28.5329942)
s g super store,POINT (77.2194998 28.5342089)
Easy Day,POINT (77.2184111 28.5347368)
,POINT (77.2039325 28.5128627)
Akash Store,POINT (77.2038098 28.5129015)
Kerala Store,POINT (77.2048617 28.5141302)
Krishna Super Marché 37,POINT (77.1974563 28.5357893)
24Seven,POINT (77.2031436 28.5325305)
24Seven,POINT (77.1963323 28.5345292)
24Seven,POINT (77.2062155 28.5567458)
EasyDay Fresh,POINT (77.1997668 28.5067166)
24Seven,POINT (77.2077092 28.5233938)
Patanjali Mega Store,POINT (77.2127916 28.5399709)
Vishal Mega Mart,POINT (77.2016872 28.5102333)
EasyDay Club,POINT (77.200689 28.5087075)
WHSmith,POINT (77.2020662 28.5210777)
King Savdeshi Bazaar,POINT (77.2008156 28.5089249)
Pradeep General Store,POINT (77.199594 28.517642)
MK Store,POINT (77.203431 28.5180292)
Vishal General Store,POINT (77.1984357 28.5077149)
,POINT (77.2030911 28.517163)
,POINT (77.1706102 28.5226497)
Shivani Store,POINT (77.1706883 28.5226524)
Narender General Store,POINT (77.17433 28.5229548)
JS Garg and Sons,POINT (77.2063778 28.5193509)
Apna Departmental Store,POINT (77.2010736 28.5088201)
WHSmith,POINT (77.1752152 28.506973)
Yogesh Trades,POINT (77.2005999 28.5060928)
Hanuman Store,POINT (77.2063226 28.5191064)
Hans Dairy and General Items,POINT (77.2063213 28.5190869)
Suraj General Store,POINT (77.200394 28.5156905)
Narang Store,POINT (77.2136973 28.5295497)
Ravi Store,POINT (77.2137533 28.5295747)
Garg General Store,POINT (77.2137164 28.5295727)
Bobby General Store,POINT (77.2141578 28.5295268)
Anna Malayali Store,POINT (77.214155 28.529584)
Nilgiri Super Mart,POINT (77.2137686 28.5291423)
Balaji Dairy and Store,POINT (77.1897604 28.49855)
Komal General Store,POINT (77.1906483 28.4984767)
GOYALSONS JANAKPURI,POINT (77.2002745 28.5471702)
The Roots | Natural and organic food store,POINT (77.1989175 28.5379197)
Haryali Organics : Best Organic store in Delhi,POINT (77.215237 28.5011393)
Earthy Tales - Organic Food Store,POINT (77.2158737 28.5388702)
Organic India Green Park,POINT (77.2019792 28.5558902)
MIANZI,POINT (77.2094557 28.5340103)
Om General Store,POINT (77.1796577 28.5200773)
Mohan Store,POINT (77.1796931 28.5199115)
Beauty & Wellness Marché,POINT (77.2072188 28.5512058)
,POINT (77.1827903 28.5453012)
Smart Point,POINT (77.2100389 28.5346707)
Trishhul Super Mart,POINT (77.2176353 28.537012)
Verma & Co Supermarket,POINT (77.2120546 28.5363836)
More,POINT (77.216594 28.5355285)
S S General Store,POINT (77.2088501 28.538134)
Star Mart,POINT (77.232405 28.5104942)
Market 99,POINT (77.2197949 28.5282075)
Patanjali Store,POINT (77.2367979 28.5255539)
Gandhi Baba Tea Stall,POINT (77.1944881 28.5549529)
Vinod's Supernarket,POINT (77.2113646 28.5596289)
,POINT (77.2087881 28.5382064)
Delhi Milk Scheme,POINT (77.2016415 28.5379713)
Ishwar Dass Madan Lal,POINT (77.2186909 28.5406422)
