name,geometry
Indraprastha Apollo Hospital,POINT (77.2834999 28.5408389)
Sukhda Hospital,POINT (77.2445375 28.5469254)
Sujan Mohinder Singh Hospital,POINT (77.2685753 28.5629027)
Majeedia Hospital,POINT (77.2518253 28.5148169)
Chandiwala Institute of Eye,POINT (77.2659895 28.544205)
Gamca,POINT (77.2369366 28.5703187)
Guru Harkishan Hospital,POINT (77.2641583 28.5821004)
Apollo Spectra Hospitals,POINT (77.2412436 28.5555937)
Fortis C-DOC Hospital,POINT (77.2494873 28.5469888)
Doctor Rajendra Prasad Centre for Opthalmic Sciences,POINT (77.2088857 28.5667966)
Safdarjung H back gate,POINT (77.207556 28.5663672)
ESIC Hospital,POINT (77.2815719 28.5143778)
Institute of Brain and Spine,POINT (77.2442543 28.5656044)
Sama Hospital,POINT (77.2270262 28.5544846)
Apollo,POINT (77.2829628 28.5403869)
Max Medcentre,POINT (77.2399229 28.5645418)
Saras Hospital,POINT (77.3124513 28.4871984)
"Sunrise Hospital, Faridabad",POINT (77.2660263 28.5769233)
Metro Hospital and Heart Institute,POINT (77.2437868 28.5647231)
AIIMS Emergency,POINT (77.2096335 28.567441)
Fortis Bloom,POINT (77.2437938 28.5287785)
Jeevan Jyoti Hospital,POINT (77.2855634 28.5223738)
Talwar Medical Centre,POINT (77.2441716 28.5363921)
Manav Medicare Centre,POINT (77.2199599 28.5706874)
Hakeem Abdul Hameed Centenary Hospital,POINT (77.2519382 28.5149753)
Vallabh Hospital,POINT (77.2659687 28.5323573)
Phoenix Hopsital,POINT (77.2440346 28.5500671)
Primary Urban Health Centre Cum Maternity Home & Poly Clinic,POINT (77.2652745 28.513195)
Banarsidas Chandiwala Insitute of Medical Sciences,POINT (77.2676793 28.5441942)
Parivar Sewa Sansthan,POINT (77.2473565 28.5672773)
MCW Sewa Nagar,POINT (77.226043 28.577053)
Netrayatan Hospital,POINT (77.2451946 28.5299782)
MCW Giri Nagar,POINT (77.262854 28.540349)
Delhi Common Wealth Women Association,POINT (77.2369473 28.5556776)
Sunrise Healthcare Centre,POINT (77.3001922 28.5452411)
Alshifa Multispeciality Hospital,POINT (77.2929324 28.5570997)
Kalindi Hospital,POINT (77.2958778 28.5408332)
RK Hospital,POINT (77.2480077 28.5034403)
Lions Kidney Hospitals,POINT (77.274224 28.571321)
Viola Hospital,POINT (77.2942198 28.5588756)
L.D. Hospital,POINT (77.3232801 28.5004025)
Faraz Hospital,POINT (77.3005748 28.5464875)
National Hospital,POINT (77.2494122 28.507902)
Iqbal Faizy Hospital,POINT (77.2893706 28.5561387)
Base Hospital,POINT (77.2486514 28.5095632)
Batla Hospital,POINT (77.2843026 28.56701)
Cribs Hospital,POINT (77.300456 28.543241)
Guru Harkrishan Hospital,POINT (77.261959 28.581479)
Bansal Hospital,POINT (77.271553 28.563833)
ECHS Polyclinic Hospital,POINT (77.2545063 28.5095465)
Delhi ENT Multispeciality Hospital,POINT (77.292145 28.539926)
,POINT (77.282953 28.5391557)
Indraprastha Apollo Hospital,POINT (77.2835195 28.5408159)
SCI IVF Hospital,POINT (77.2337844 28.5495245)
HAH century hospital,POINT (77.2513477 28.5128503)
al-shifa,POINT (77.2929977 28.5570345)
Oncoplus Hospital,POINT (77.2267424 28.5697622)
Indian Cancer Institute,POINT (77.2419692 28.5483823)
