name,geometry
,POINT (77.243926 28.5467274)
,POINT (77.268987 28.5625256)
,POINT (77.2463633 28.5668414)
Gaurav Medical Store,POINT (77.2628221 28.5385149)
Chemist shop,POINT (77.2070525 28.5605891)
,POINT (77.2070448 28.5605958)
,POINT (77.2203736 28.58471)
Radikha Pharmacy,POINT (77.2572699 28.5267457)
Apollo Pharmacy,POINT (77.2415558 28.5752251)
Medicine Care,POINT (77.2473791 28.5679314)
Mahesh Chemists,POINT (77.2472784 28.567774)
All India Medicos,POINT (77.2076233 28.5618572)
Unique Chemist,POINT (77.2459237 28.5680128)
Healthy Life Pharmacy,POINT (77.2484873 28.566497)
Apollo Pharmacy,POINT (77.2532333 28.5422098)
Krishna Medicos,POINT (77.2531203 28.5422366)
98.4°,POINT (77.2573949 28.5406322)
Apollo Pharmacy,POINT (77.2376172 28.5691403)
,POINT (77.2304009 28.5463443)
,POINT (77.2537965 28.5253273)
,POINT (77.2544258 28.524544)
Globe Medicos,POINT (77.2419931 28.5525647)
Preet Medicos,POINT (77.23338 28.5498295)
SCI Pharmacy,POINT (77.2337581 28.549539)
All India Medicos,POINT (77.2077732 28.562112)
Luthra Chemist,POINT (77.2525296 28.5896915)
Parkash Medicos,POINT (77.2525243 28.5895222)
Chemist Shop,POINT (77.2434618 28.5916336)
Sitara pharmacy,POINT (77.2450769 28.582994)
Life Line Medicos,POINT (77.2449404 28.5829724)
U.A. Medicos,POINT (77.2448449 28.5828995)
Binni medicose,POINT (77.3247549 28.495666)
Bhagat medicos,POINT (77.3138746 28.5007488)
Singh Medicos,POINT (77.2340326 28.5498211)
,POINT (77.235665 28.550139)
Apna Chemist,POINT (77.2689804 28.5631374)
,POINT (77.2690055 28.5631214)
Lucknow medical agencies,POINT (77.245554 28.5685642)
Apollo Pharmacy,POINT (77.2407022 28.553228)
Globe Medicoz,POINT (77.2419887 28.5525241)
,POINT (77.2304511 28.5734943)
U.K. MEDICOS,POINT (77.2414853 28.5730013)
INDER MEDICOS,POINT (77.2076578 28.5621244)
AGGARWAL MEDICOS,POINT (77.2076539 28.562139)
Yadav Medicos,POINT (77.2783182 28.5406744)
Krishna Medicos,POINT (77.2783472 28.5406862)
Reliable Chemist,POINT (77.2388748 28.5808578)
Taneja Medicine Store,POINT (77.2465098 28.5671754)
