name,geometry
"NIIT - New Friends Colony, South Delhi",POINT (77.2667188 28.5603226)
New Ideal Public School,POINT (77.2921488 28.5467878)
Jai Bharti Public School,POINT (77.2925361 28.5464998)
Disha Public School,POINT (77.2929511 28.5480622)
Jasola Public School,POINT (77.2930513 28.5483522)
MCD Public School,POINT (77.2940566 28.5482349)
Cambridge Primary School,POINT (77.2746488 28.5662292)
Don Bosco School,POINT (77.2473321 28.5285072)
MAAC,POINT (77.2175752 28.5692131)
Jaganath intl mngt school,POINT (77.2563459 28.5470179)
Government Boys Senior Secondary School,POINT (77.2335349 28.5730899)
Kaviraj Khazan Chand Quetta Dayachand Arya Vedic Senior Secondary School,POINT (77.2523949 28.5866396)
SDMC Primary Model School,POINT (77.2397878 28.5768012)
,POINT (77.2407455 28.5768608)
,POINT (77.3025188 28.5323755)
SDMC Primary Coeducational School,POINT (77.248199 28.5695905)
Madarasa Millat-ul-Islam,POINT (77.264387 28.5433478)
Manav Mangal Public School,POINT (77.2954384 28.4986996)
Government Coeducational Senior Secondary School,POINT (77.2391399 28.5762957)
New Suriya Public school,POINT (77.2422016 28.5043828)
The Ardee School,POINT (77.2757538 28.5606026)
New Horizon School,POINT (77.2477028 28.5947172)
Navyug School,POINT (77.2165688 28.5872412)
Satyawati Sood Arya Girls senior secondary school,POINT (77.2516215 28.5870203)
Nios Study center,POINT (77.2514966 28.5871452)
YMCA Public School,POINT (77.2511171 28.5872431)
,POINT (77.2476036 28.5947114)
Molarband school,POINT (77.3260089 28.4945193)
New bal vaishali public school,POINT (77.3260786 28.4930183)
Government school,POINT (77.3046099 28.4982037)
M C D primary co-ed model school,POINT (77.2440823 28.5853022)
Govt girls senior secondary school no . 3,POINT (77.3256146 28.4946147)
Sarvodaya bal vidyalaya no. 1,POINT (77.3256489 28.4945557)
Jamia Milia Islamia School ground,POINT (77.2835401 28.5638054)
Hemani Public School,POINT (77.2475193 28.5684003)
K.S.K Academy,POINT (77.2476048 28.5016344)
Pratibha Vidyalaya,POINT (77.2307224 28.5724903)
Jaishankar Memorial Centre,POINT (77.3002293 28.5379491)
KENDRIYA VIDYALAYA,POINT (77.225629 28.5569422)
