name,geometry
In & Out,POINT (77.2478224 28.5503785)
,POINT (77.2441405 28.5468405)
Grocery,POINT (77.2973722 28.5426087)
,POINT (77.297035 28.5412423)
H.M. morning store,POINT (77.2362001 28.5499184)
Savemax,POINT (77.2589413 28.5499121)
GMX DESIGNER,POINT (77.2631785 28.5760446)
Sunder Nagar Market,POINT (77.2414413 28.6020757)
24 Seven,POINT (77.2439985 28.5334151)
Export Market,POINT (77.239698 28.5693626)
24Seven,POINT (77.2390655 28.569617)
Patanjali Mega Store,POINT (77.246604 28.5665064)
24Seven,POINT (77.229598 28.5750727)
,POINT (77.2446571 28.5624127)
Sai Store,POINT (77.2390529 28.5698643)
,POINT (77.2457072 28.5729339)
,POINT (77.2437317 28.5727113)
Munafa Mart,POINT (77.2470753 28.5682373)
Krishna Super Marché 37,POINT (77.2309338 28.5662268)
Unique Departmental Store,POINT (77.2473621 28.5687584)
24Seven,POINT (77.246384 28.5669045)
24Seven,POINT (77.2663523 28.5623109)
24Seven,POINT (77.2244419 28.5678122)
Banarasi Pan Bhandar,POINT (77.3186247 28.4921105)
24Seven,POINT (77.2729301 28.5275501)
24Seven,POINT (77.253952 28.5675441)
Gupta Department Store,POINT (77.2409022 28.5528702)
24Seven,POINT (77.2519942 28.5430127)
Sharma Dairy,POINT (77.2581842 28.5400401)
Munafa Mart,POINT (77.2529083 28.5421857)
,POINT (77.2537912 28.5457562)
,POINT (77.2303035 28.5464147)
Atta Chakki Virender,POINT (77.2305171 28.5463159)
Yess,POINT (77.2416682 28.5652763)
Modern Bazar,POINT (77.2428971 28.5543097)
Sheetal Store,POINT (77.2527352 28.5488224)
,POINT (77.2195741 28.5895394)
South Extension Shopping Mecca,POINT (77.2202128 28.5686405)
In & Out,POINT (77.2378906 28.5746591)
Kaberi Nest,POINT (77.2532073 28.5372063)
The Celiac Store - Best Gluten Free and Allergy Foods Store in Delhi,POINT (77.229949 28.5733379)
Ellementry Delhi,POINT (77.2334653 28.5567137)
Nature's Tattva,POINT (77.2570832 28.5607889)
Grand Bazaar,POINT (77.241535 28.5525516)
Le Marche Select,POINT (77.2646775 28.5770218)
Modern Bazaar,POINT (77.2376155 28.5739803)
8:Eleven,POINT (77.2334068 28.5497666)
Book store,POINT (77.2929952 28.5562961)
Nature's soul,POINT (77.2302278 28.5730044)
Arora Stores,POINT (77.252527 28.5897532)
,POINT (77.2524094 28.5906069)
Rohini General Store,POINT (77.2525244 28.5895585)
A-One Store,POINT (77.2168666 28.5881415)
In & Out,POINT (77.2373349 28.5921924)
Radhey Radhey Store,POINT (77.233894 28.5505792)
Dhan Laxmi Store,POINT (77.2429965 28.5669721)
Budget Bazaar,POINT (77.2441223 28.533552)
Morning Choice,POINT (77.242468 28.5532434)
,POINT (77.2409097 28.5535837)
Geen Chick Chop,POINT (77.2536974 28.5419719)
Jagdish Store,POINT (77.234158 28.5504896)
Star Mart,POINT (77.2852871 28.501959)
Ration Shop,POINT (77.2666885 28.5122951)
DMS Milk And More,POINT (77.2393659 28.5695751)
Rajmandir Hypermarket,POINT (77.2664993 28.5714687)
RED BASKET STORE,POINT (77.2954241 28.5515911)
,POINT (77.2416257 28.5445915)
Delhi Milk Scheme,POINT (77.2409616 28.5536353)
Subhash Store,POINT (77.230201 28.5730744)
Delhi Milk Scheme,POINT (77.236834 28.5634793)
Ramesh store,POINT (77.231095 28.5756684)
Morning store,POINT (77.2311219 28.5756689)
RK STORE,POINT (77.2392826 28.5747218)
HENFRUIT EGGS,POINT (77.2414831 28.5729848)
PATANJALI,POINT (77.2414442 28.5736562)
DMS BHARAT SARKAR,POINT (77.2258919 28.558879)
Honey Supermarket,POINT (77.2665802 28.5708593)
Shops Complex,POINT (77.2674633 28.5690203)
M/s Amrit Food,POINT (77.2545248 28.5869005)
