name,geometry
Ayushman Hospital,POINT (77.0493833 28.5965201)
Govt Dispensory,POINT (77.0573761 28.5866431)
PHC Ujjwa,POINT (76.9041305 28.5702527)
Bhagat Chandra Hospital,POINT (77.0816478 28.5934549)
World Brain Center Hospital,POINT (77.0886731 28.6121754)
Mata Sumitra Devi Hospital,POINT (77.0239288 28.5779214)
CRPF Composite Hospital,POINT (76.9572897 28.6390663)
Bharti Nursingh Home,POINT (77.0702439 28.5874217)
Orthoplus Hospital,POINT (76.976352 28.6139007)
Shree Dhanvantri Hospital,POINT (76.9756046 28.6121179)
Divya Prastha Hospital,POINT (77.0875445 28.5862424)
Kesar Nursing Home Dabri,POINT (77.1008845 28.6089466)
Medeor Hospital,POINT (77.0457328 28.5964391)
Shakuntla Nursing Home Sagarpur,POINT (77.0952919 28.6081283)
Malik Maternity Home and Surgical Centre,POINT (76.982911 28.6154991)
Singhal Hospital Palam Colony,POINT (77.0887312 28.5882997)
Doctors Diagnostic Centre Najafgarh,POINT (76.9844782 28.6145619)
Aakash Healthcare Super Speciality Hospital,POINT (77.0535572 28.6054061)
Khushi Hospital,POINT (77.0491427 28.607392)
Sinha Hospital,POINT (76.9931022 28.6124178)
Rohan Hospital,POINT (77.002263 28.629752)
Indus Valley Hospitals,POINT (76.9909557 28.6136472)
Pearl Hospital,POINT (76.9916517 28.5959686)
Shree Hospital,POINT (77.041201 28.5982541)
Vishwakarma Hospital,POINT (76.9735825 28.6110344)
Bm Hospital,POINT (77.0658712 28.6184538)
Narayani Hospital,POINT (76.9798637 28.6122422)
Sunil Memorial Nursing Home,POINT (77.0846422 28.5873313)
Manipal Hospitals,POINT (77.0637613 28.5929199)
Clifton Springs Hospital,POINT (76.9885337 28.6005702)
Surya Kiran Hospital,POINT (76.9923106 28.6138396)
Ardent Hospital,POINT (77.0859526 28.5869919)
New Heera Hospital,POINT (76.9887306 28.6130081)
Dwarka Heart Centre,POINT (77.0436777 28.5995579)
Kalpavriksh Super Speciality Center,POINT (77.0351429 28.5978809)
Vikas Hospital Private Limited,POINT (76.980957 28.610754)
City Health Hospital,POINT (76.9735567 28.6105806)
Shri Sanjivani Hospital,POINT (76.9857721 28.6080273)
Ortho Care Hospital,POINT (76.991315 28.613246)
Ayushman Hospital,POINT (77.0596665 28.5881804)
Bhagat Chandra Hospital,POINT (77.0984624 28.6051867)
Rosewood Hospital,POINT (76.992631 28.610136)
Orchid Hospital Maternity and Heart Centre,POINT (77.0874447 28.614656)
Foji Hospital,POINT (76.9760625 28.6133491)
Apaar Nursing Home,POINT (77.071139 28.614442)
Dwarka Hospital,POINT (77.0316366 28.6166831)
Kalyani Hospital,POINT (76.9876459 28.6132186)
Dhanwati Hospital,POINT (76.9686781 28.6123667)
Janki Hospital,POINT (76.987173 28.6058663)
Angel Agastya Multi Speciality Hospital,POINT (77.0857082 28.5870577)
Jay Hospital,POINT (76.9861235 28.6085349)
Deepan Hospital,POINT (77.0848898 28.5300327)
Dwarka New Born and Child Hospital,POINT (77.0291453 28.6194069)
Lifeline Hospital,POINT (77.0426925 28.5941071)
Chander Leela Hospital,POINT (77.0623437 28.6186477)
Nirmala Hospital,POINT (77.0015182 28.6312194)
Sanjevani Hospital,POINT (76.9874092 28.6052388)
Chaudhary Braham Prakash Ayurvedic Charak Sansthan,POINT (76.9336152 28.5721366)
,POINT (76.9951114 28.6134172)
SITE,POINT (77.0675724 28.5764608)
Aakash Hospital,POINT (77.0536459 28.6053767)
Injury Centre,POINT (77.0526152 28.6063225)
Ravi Nursing Home,POINT (77.0305823 28.6172493)
Apollo Fertility,POINT (77.0400311 28.5964346)
