name,geometry
Apollo Pharmacy,POINT (77.0622043 28.588872)
Rai Medico,POINT (77.0563222 28.5892292)
98.3,POINT (77.0589614 28.5902843)
,POINT (76.9840237 28.6171539)
,POINT (76.9858019 28.6131192)
,POINT (76.9857858 28.6133994)
,POINT (76.9856061 28.6136443)
,POINT (76.9854827 28.6078918)
,POINT (76.9835652 28.6169341)
,POINT (76.9855341 28.6133667)
,POINT (76.9851934 28.6124908)
,POINT (76.9849896 28.6126203)
,POINT (76.9072214 28.5705987)
Delhi Government Dispensary,POINT (77.068381 28.600973)
City Medicos,POINT (77.071164 28.5837748)
Lifeline Medicos And Cosmetics,POINT (77.0716513 28.5876579)
Chaurasiya Medicos,POINT (77.026695 28.6169333)
Cosmos Pharmacy,POINT (77.0712112 28.5868284)
Med Cure Chemist,POINT (77.0714203 28.5885064)
Vi Care Pharmacy,POINT (77.0563737 28.5861038)
Annapurna Medical,POINT (77.071797 28.5896258)
Apical Medicine And Health Care Products,POINT (77.0451669 28.5923828)
Naman Pharmaceuticals,POINT (77.043424 28.5908115)
Kanha Medicos,POINT (77.0451321 28.5924465)
Apollo Pharmacy,POINT (77.0417847 28.592265)
DN Discount Pharmacy,POINT (77.0456154 28.5928707)
Apollo pharmacy,POINT (77.0478176 28.5946266)
All Well pharmacy,POINT (77.0477776 28.5945968)
Leeford Balaji Medicine Shop,POINT (77.0485557 28.5955826)
V.N. Medicos,POINT (77.0492929 28.5966763)
Healthcare Chemist,POINT (77.0492882 28.5963272)
