name,geometry
Government Boys and Girls Senior Secondary School,POINT (76.9877135 28.6114104)
"Delhi Public School, Dwarka",POINT (77.0479506 28.6059739)
Holy Cross School,POINT (76.9811687 28.6147687)
,POINT (76.9837474 28.6182087)
Krishna Model School,POINT (76.985117 28.6060798)
Mitraon Govt School,POINT (76.9396906 28.6067575)
Ujwa Govt School,POINT (76.9036618 28.5704851)
Govt Primary School Malik Pur,POINT (76.8999464 28.551102)
Govt Primary School DaryaPur,POINT (76.9075424 28.552763)
Govt Senior Secondary School,POINT (76.9317444 28.6024715)
Swiss Cottage school,POINT (77.0502838 28.5157955)
Dev Public School.,POINT (76.9685752 28.6304673)
Modern school,POINT (77.0542962 28.5788563)
Venkateshwara international school,POINT (77.0389764 28.5889898)
Adarsh World School,POINT (77.0435682 28.5943755)
,POINT (76.9537195 28.6331399)
,POINT (77.0005244 28.5654935)
Green View Public School,POINT (77.0018985 28.6043448)
,POINT (77.0288535 28.5445054)
Mission public school,POINT (77.057532 28.5996273)
xtreme tennis academy,POINT (77.0512983 28.6037753)
Jinwani public school,POINT (77.049833 28.6000308)
New Sanik Public School,POINT (77.068435 28.6071489)
