name,geometry
Vishal Mega Mart,POINT (76.9902885 28.6126394)
Packers mart,POINT (76.9886168 28.598862)
Dabri,POINT (77.08678 28.6109263)
Organic Acre,POINT (77.0647953 28.5915035)
Firstcry Store,POINT (77.0714666 28.5899005)
,POINT (77.042307 28.5766674)
Yadav Cement Agencies,POINT (77.0805154 28.5716752)
super,POINT (77.0100528 28.5992297)
Pawan Halwai,POINT (76.9852239 28.5989507)
MOTHER DAIRY,POINT (77.0443223 28.563252)
,POINT (77.0443372 28.563226)
rajmandir,POINT (77.0505173 28.5620347)
kisan mandi,POINT (77.0498861 28.5639554)
Genral store,POINT (77.0482061 28.6006392)
Genral shop,POINT (77.0488901 28.6015971)
Vishal Mega Mart,POINT (77.026632 28.6196519)
Shubham store (big),POINT (76.9750125 28.6107518)
Laxmi store (big),POINT (76.974704 28.6105235)
Bombay Bazar,POINT (77.0292636 28.6180666)
Reliance Fresh,POINT (77.0300178 28.6185595)
Puran,POINT (77.0329255 28.6153723)
Vishal Mega Mart,POINT (77.071595 28.5860774)
Aap ka Bazar,POINT (77.0423682 28.5974584)
Aap ka Bazar,POINT (77.0704986 28.5856255)
Patanjali Mega Store,POINT (77.0714494 28.5890661)
Reliance Fresh Signature,POINT (77.0714709 28.5896887)
Ashoka Dry Fruit Mart,POINT (77.0453363 28.5923027)
Chaudhary Grocers And Atta Chakki,POINT (77.0450464 28.5924999)
Chaddha Confectionery,POINT (77.0431622 28.5909052)
Storeex 24x7,POINT (77.0718294 28.5893125)
Aggarwal Value Mart,POINT (77.0507663 28.5616227)
,POINT (76.9267325 28.5353504)
Narang Grocery and Provision,POINT (77.0473687 28.5941431)
