name,geometry
MGS Hospital,POINT (77.1346394 28.6739027)
Maharaja Agrasen Hospital,POINT (77.1340566 28.6740586)
A One Hospital,POINT (77.0981158 28.67882)
Krypton Global Health,POINT (77.0732307 28.638646)
,POINT (77.1387433 28.6438892)
City Hospital,POINT (77.1912841 28.6439995)
Narang Hospital,POINT (77.0980297 28.6460854)
Paschim Vihar West,POINT (77.0997686 28.67852)
"Government Hospital, Jawalapuri",POINT (77.080093 28.674566)
Mohan Eye Institute,POINT (77.1906871 28.6431266)
PGH Hospitals,POINT (77.048981 28.636193)
Sanjivani Hospital,POINT (77.0502678 28.674249)
Saraswati Hospital and Laproscopic Centre,POINT (77.009835 28.626424)
Kalra Hospital,POINT (77.1387304 28.6551825)
MKW Hospital,POINT (77.119633 28.6392919)
UK Nursing Home,POINT (77.076458 28.634107)
Goyal Hospital,POINT (77.0853346 28.6616551)
Care n Cure 24,POINT (77.0726925 28.653375)
Sunand Hospital & IVF Centre,POINT (77.0480879 28.618746)
Medstar Hospital,POINT (77.0907424 28.6590574)
Karuna Sindhu Charitable Hospital,POINT (77.0163489 28.6557378)
Government Ayurvedic Hospital,POINT (77.1458797 28.6635722)
Kiran Das Charitable Hospital,POINT (77.0617704 28.6524161)
Apollo Cradle Maternity & Children's Hospital,POINT (77.1503029 28.6617972)
Satyabhama Hospital,POINT (77.0634761 28.6769478)
Dashmesh Hospital,POINT (77.0988531 28.6304061)
Sumiti Vishal Charitable Hospital,POINT (77.044482 28.6137065)
SR Malik Hospital,POINT (77.0520776 28.620884)
Gandhi Hospital,POINT (77.0535384 28.6200029)
Khetarpal Hospital,POINT (77.130018 28.652562)
Hardik Hospital,POINT (77.0532022 28.6367362)
Mata Chandana Devi Hospital,POINT (77.0539739 28.635321)
R. Nayyar Hospital,POINT (77.0431588 28.6203861)
Bagga Nursing Home,POINT (77.090997 28.660249)
Rao Raghubir Hospital,POINT (77.0610089 28.6750507)
Surya Laxmi Hospital,POINT (77.0499201 28.6322953)
Kanojia Hospital,POINT (77.012034 28.6262562)
Rathi Hospital,POINT (77.0315432 28.6514885)
Sodhi Nursing Home and ENT Hospital,POINT (77.087877 28.6702118)
Nijhara Hospital,POINT (77.165748 28.646316)
Mehra Hospital,POINT (77.1276492 28.6711074)
Sonia Hospital,POINT (77.0524348 28.682627)
JankiDas Kapur Memorial Hospital,POINT (77.151169 28.649171)
Sehgal Neo Hospital,POINT (77.09143 28.658057)
Mahindru Hospital,POINT (77.0495632 28.6206121)
Arya Hospital,POINT (77.0794442 28.6172035)
RLKC Hospital,POINT (77.1546934 28.6510947)
SR Krishna Hospital,POINT (77.047023 28.61641)
Bhatia Global Hospital,POINT (77.08244 28.6655435)
Satya Multi Speciality Hospital,POINT (77.039392 28.6268253)
Asha Hospital,POINT (77.0516082 28.6365818)
Jeevan Jyoti Hospital,POINT (77.0466915 28.6190592)
Bala Ji Hospital,POINT (77.0558285 28.6334854)
Shri Mahant Gurmukh Singhji Charitable Hospital,POINT (77.1352525 28.6739475)
R.R.Hospital,POINT (77.0126848 28.6278418)
Sanjeevani Maternity & Children Hospital,POINT (77.0390502 28.6222392)
Konarc Hospital,POINT (77.0638665 28.6773715)
Santosh Hospital,POINT (77.0502929 28.6789124)
Care New born & Child Hospital,POINT (77.1155597 28.6674155)
Tarak Hospital India Private Limited,POINT (77.030036 28.619298)
Jainar Hospital,POINT (77.0907507 28.660601)
Amit Nursing Home,POINT (77.1095894 28.6340005)
Nanak Darbar Charitable Hospital,POINT (77.0615293 28.6520769)
Mata Chanan Devi Hospital,POINT (77.078224 28.618749)
Lotus Hospital,POINT (77.110763 28.626739)
Aashirwad Nursing Home,POINT (77.0520031 28.6379887)
Sumitra Hospital,POINT (77.1240716 28.6734516)
Asi Hospital,POINT (77.1334074 28.6561778)
Matrchaya Child Care,POINT (77.08128 28.665228)
Sanchet Hospital,POINT (77.0885037 28.6700151)
Mata Roop Rani Maggo Hospital,POINT (77.0502551 28.6211011)
Sai Nursing Home,POINT (77.081707 28.621501)
Governmentt Eye Hospital,POINT (77.0646877 28.6697864)
"Goyal Hospital, Nilothi",POINT (77.0707603 28.6527464)
Gaudham Cancer Ayurvedic Treatment & Research Center,POINT (77.130852 28.67286)
SRG Hospital,POINT (77.0296634 28.6496187)
B.M. Gupta Hospital Pvt. Ltd.,POINT (77.0613682 28.6195378)
Kamlesh Nursing Home,POINT (77.0886996 28.6699638)
Shubh Nursing Home,POINT (77.0566637 28.635346)
Sushruta Maternity And Surgical Centre,POINT (77.0903999 28.6587906)
Dwarika Medicare & Maternity Centre,POINT (77.0490279 28.6148521)
Jasrotia Hospital,POINT (77.1157209 28.6237693)
Sanjivani Gynec & Children Hospital,POINT (77.0390494 28.6242925)
Genesis Hospital,POINT (77.08125 28.620674)
Ardent Ganpati Hospital,POINT (77.0387679 28.6819483)
Dr Suresh Garg - Eye & Laser Hospital,POINT (77.110835 28.671097)
Mansaram Hospital,POINT (77.0588003 28.6723615)
Kelvin Diagnostics,POINT (77.1417334 28.6625223)
Gyanchandra Joshi Ayurvedic Hospital,POINT (77.144284 28.662511)
DR CHOPRAS SPINE JOINT SOLUTIONS INDIA - joint replacement doctor in west Delhi,POINT (77.1421631 28.6581639)
Guru Ram Dass Charitable Hospital,POINT (77.1125936 28.6376807)
Sanjay Gandi Hospital,POINT (77.1700493 28.6337619)
HOD Rajouri Garden - House Of Diagnostics,POINT (77.1204602 28.6484714)
Under Construction Hospital,POINT (77.061634 28.6336658)
