name,geometry
Sumermal Jain Public School,POINT (77.0940113 28.6300965)
Guru Nanak Public School,POINT (77.1326211 28.6699013)
S M Arya Public School,POINT (77.1337166 28.6721011)
SD Public School,POINT (77.1393322 28.6677379)
Vishal Bharti Public School,POINT (77.1002235 28.6776074)
St. Nirankari Public School,POINT (77.1072725 28.676031)
Rajkiya Pratibha Vikas Vidyalaya,POINT (77.1066654 28.6757409)
Sarvodaya Vidyalaya,POINT (77.1058706 28.6750003)
Government Higher Secondary School,POINT (77.1271291 28.6739957)
Sarvodaya Co-Educational School,POINT (77.1497669 28.6692325)
Government Senior Secondary School,POINT (77.1658655 28.6535437)
Sarvodaya Kanya Vidyalaya,POINT (77.1655973 28.652348)
Govt. Boys HB School,POINT (77.1660801 28.6541792)
DAV School,POINT (77.1680059 28.6471225)
Vidya Bhawan Senior Secondary School,POINT (77.1763691 28.6387283)
Sindhi Higher Secondary School,POINT (77.1778604 28.6357621)
Manav Sthali School,POINT (77.1782466 28.6352772)
Andh Kanya Vidyalaya,POINT (77.1803119 28.6368309)
DI Khan Bharati Sabha Higher Secondary School,POINT (77.1795502 28.6307618)
Bapu Adarsh Vidyalaya,POINT (77.1804675 28.6306394)
Swami Dayanand Govt. Sarvodaya Vidyalaya,POINT (77.1856155 28.6397954)
GD Salwan Public School,POINT (77.1858677 28.6403133)
deepak vaiyas home,POINT (77.1133697 28.625488)
S.D. Public,POINT (77.169391 28.6473887)
NC Jindal Public School,POINT (77.124514 28.6628679)
Shaheed Captain Anuj Nayyar Government Boys Senior Secondary School,POINT (77.0927024 28.6255941)
